"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-09,0,0,0,0
"2",2020-04-10,0,0,0,0
"3",2020-04-11,0,0,0,0
"4",2020-04-12,0,0,0,0
"5",2020-04-13,0,0,0,0
"6",2020-04-14,0,0,0,0
"7",2020-04-15,0,0,0,0
"8",2020-04-16,0,0,0,0
"9",2020-04-17,0,0,0,0
"10",2020-04-18,0,0,0,0
"11",2020-04-19,0,0,0,0
"12",2020-04-20,0,0,0,0
"13",2020-04-21,0,0,0,0
"14",2020-04-22,0,0,0,0
"15",2020-04-23,0,0,0,0
"16",2020-04-24,0,0,0,0
"17",2020-04-25,0,0,0,0
"18",2020-04-26,0,0,0,0
"19",2020-04-27,0,0,0,0
"20",2020-04-28,0,0,0,0
"21",2020-04-29,0,0,0,0
"22",2020-04-30,0,0,0,0
"23",2020-05-01,0,0,0,0
"24",2020-05-02,0,0,0,0
"25",2020-05-03,0,0,0,0
"26",2020-05-04,0,0,0,0
"27",2020-05-05,0,0,0,0
"28",2020-05-06,0,0,0,0
"29",2020-05-07,0,0,0,0
"30",2020-05-08,0,0,0,0
"31",2020-05-09,0,0,0,0
"32",2020-05-10,0,0,0,0
"33",2020-05-11,0,0,0,0
"34",2020-05-12,0,0,0,0
"35",2020-05-13,0,0,0,0
"36",2020-05-14,0,0,0,0
"37",2020-05-15,0,0,0,0
"38",2020-05-16,0,0,0,0
"39",2020-05-17,0,0,0,0
"40",2020-05-18,0,0,0,0
"41",2020-05-19,0,0,0,0
"42",2020-05-20,0,0,0,0
"43",2020-05-21,0,0,0,0
"44",2020-05-22,0,0,0,0
"45",2020-05-23,0,0,0,0
"46",2020-05-24,0,0,0,0
"47",2020-05-25,0,0,0,0
"48",2020-05-26,0,0,0,0
"49",2020-05-27,0,0,0,0
"50",2020-05-28,0,0,0,0
"51",2020-05-29,0,0,0,0
"52",2020-05-30,0,0,0,0
"53",2020-05-31,0,0,0,0
"54",2020-06-01,0,0,0,0
"55",2020-06-02,0,0,0,0
"56",2020-06-03,0,0,0,0
"57",2020-06-04,0,0,0,0
"58",2020-06-05,0,0,0,0
"59",2020-06-06,0,0,0,0
"60",2020-06-07,0,0,0,0
"61",2020-06-08,0,0,0,0
"62",2020-06-09,0,0,0,0
"63",2020-06-10,0,0,0,0
"64",2020-06-11,0,0,0,0
"65",2020-06-12,8,5,2,1
"66",2020-06-13,18,15,2,1
"67",2020-06-14,30,26,2,2
"68",2020-06-15,30,26,2,2
"69",2020-06-16,31,27,2,2
"70",2020-06-17,NA,NA,NA,NA
"71",2020-06-18,43,39,2,2
"72",2020-06-19,73,69,2,2
"73",2020-06-20,80,76,2,2
"74",2020-06-21,108,104,2,2
"75",2020-06-22,108,104,2,2
"76",2020-06-23,109,105,2,2
"77",2020-06-24,110,106,2,2
"78",2020-06-25,112,102,8,2
"79",2020-06-26,112,102,8,2
"80",2020-06-27,118,107,9,2
"81",2020-06-28,118,107,9,2
"82",2020-06-29,118,107,9,2
"83",2020-06-30,120,109,9,2
"84",2020-07-01,NA,NA,NA,NA
"85",2020-07-02,151,139,10,2
"86",2020-07-03,NA,NA,NA,NA
"87",2020-07-04,NA,NA,NA,NA
"88",2020-07-05,154,135,17,2
"89",2020-07-06,154,135,17,2
"90",2020-07-07,154,135,17,2
"91",2020-07-08,205,178,25,2
"92",2020-07-09,205,178,25,2
"93",2020-07-10,206,179,25,2
"94",2020-07-11,206,179,25,2
"95",2020-07-12,207,165,40,2
"96",2020-07-13,209,154,53,2
"97",2020-07-14,NA,NA,NA,NA
"98",2020-07-15,NA,NA,NA,NA
"99",2020-07-16,NA,NA,NA,NA
"100",2020-07-17,233,144,87,2
"101",2020-07-18,235,118,115,2
"102",2020-07-19,236,106,127,3
"103",2020-07-20,NA,NA,NA,NA
"104",2020-07-21,236,85,148,3
"105",2020-07-22,NA,NA,NA,NA
"106",2020-07-23,NA,NA,NA,NA
"107",2020-07-24,253,27,222,4
"108",2020-07-25,254,28,222,4
"109",2020-07-26,254,26,224,4
"110",2020-07-27,NA,NA,NA,NA
"111",2020-07-28,255,26,225,4
"112",2020-07-29,NA,NA,NA,NA
"113",2020-07-30,274,29,241,4
"114",2020-07-31,274,24,246,4
"115",2020-08-01,274,23,247,4
"116",2020-08-02,274,23,247,4
"117",2020-08-03,281,30,247,4
"118",2020-08-04,281,30,247,4
"119",2020-08-05,NA,0,NA,NA
"120",2020-08-06,NA,0,NA,NA
"121",2020-08-07,281,10,267,4
"122",2020-08-08,281,10,267,4
"123",2020-08-09,281,10,267,4
"124",2020-08-10,292,18,270,4
"125",2020-08-11,292,18,270,4
"126",2020-08-12,292,18,270,4
"127",2020-08-13,NA,NA,NA,NA
"128",2020-08-14,292,14,274,4
"129",2020-08-15,292,12,276,4
"130",2020-08-16,320,40,276,4
"131",2020-08-17,357,77,276,4
"132",2020-08-18,357,77,276,4
"133",2020-08-19,357,66,287,4
"134",2020-08-20,398,107,287,4
"135",2020-08-21,398,107,287,4
"136",2020-08-22,398,107,287,4
"137",2020-08-23,408,114,289,5
"138",2020-08-24,415,121,289,5
"139",2020-08-25,415,121,289,5
"140",2020-08-26,415,98,312,5
"141",2020-08-27,440,87,348,5
"142",2020-08-28,441,88,348,5
"143",2020-08-29,441,55,381,5
