"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",NA,NA,NA,NA,NA
"2",2020-04-05,0,0,0,0
"3",2020-04-06,0,0,0,0
"4",2020-04-07,0,0,0,0
"5",2020-04-08,0,0,0,0
"6",2020-04-09,0,0,0,0
"7",2020-04-10,0,0,0,0
"8",2020-04-11,0,0,0,0
"9",2020-04-12,0,0,0,0
"10",2020-04-13,0,0,0,0
"11",2020-04-14,0,0,0,0
"12",2020-04-15,0,0,0,0
"13",2020-04-16,0,0,0,0
"14",2020-04-17,0,0,0,0
"15",2020-04-18,0,0,0,0
"16",2020-04-19,0,0,0,0
"17",2020-04-20,0,0,0,0
"18",2020-04-21,0,0,0,0
"19",2020-04-22,0,0,0,0
"20",2020-04-23,0,0,0,0
"21",2020-04-24,0,0,0,0
"22",2020-04-25,0,0,0,0
"23",2020-04-26,0,0,0,0
"24",2020-04-27,0,0,0,0
"25",2020-04-28,0,0,0,0
"26",2020-04-29,0,0,0,0
"27",2020-04-30,0,0,0,0
"28",2020-05-01,0,0,0,0
"29",2020-05-02,0,0,0,0
"30",2020-05-03,0,0,0,0
"31",2020-05-04,0,0,0,0
"32",2020-05-05,0,0,0,0
"33",2020-05-06,0,0,0,0
"34",2020-05-07,0,0,0,0
"35",2020-05-08,0,0,0,0
"36",2020-05-09,0,0,0,0
"37",2020-05-10,0,0,0,0
"38",2020-05-11,0,0,0,0
"39",2020-05-12,0,0,0,0
"40",2020-05-13,0,0,0,0
"41",2020-05-14,0,0,0,0
"42",2020-05-15,0,0,0,0
"43",2020-05-16,0,0,0,0
"44",2020-05-17,0,0,0,0
"45",2020-05-18,0,0,0,0
"46",2020-05-19,0,0,0,0
"47",2020-05-20,0,0,0,0
"48",2020-05-21,0,0,0,0
"49",2020-05-22,0,0,0,0
"50",2020-05-23,0,0,0,0
"51",2020-05-24,0,0,0,0
"52",2020-05-25,0,0,0,0
"53",2020-05-26,0,0,0,0
"54",2020-05-27,0,0,0,0
"55",2020-05-28,0,0,0,0
"56",2020-05-29,0,0,0,0
"57",2020-05-30,0,0,0,0
"58",2020-05-31,0,0,0,0
"59",2020-06-01,0,0,0,0
"60",2020-06-02,0,0,0,0
"61",2020-06-03,0,0,0,0
"62",2020-06-04,0,0,0,0
"63",2020-06-05,0,0,0,0
"64",2020-06-06,0,0,0,0
"65",2020-06-07,0,0,0,0
"66",2020-06-08,0,0,0,0
"67",2020-06-09,0,0,0,0
"68",2020-06-10,0,0,0,0
"69",2020-06-11,0,0,0,0
"70",2020-06-12,0,0,0,0
"71",2020-06-13,91,56,29,4
"72",2020-06-14,101,62,30,6
"73",2020-06-15,116,73,34,6
"74",2020-06-16,117,71,35,6
"75",2020-06-17,127,83,34,6
"76",2020-06-18,145,99,34,8
"77",2020-06-19,151,105,34,8
"78",2020-06-20,152,106,34,8
"79",2020-06-21,156,110,34,8
"80",2020-06-22,160,112,36,8
"81",2020-06-23,168,115,39,10
"82",2020-06-24,172,119,39,10
"83",2020-06-25,174,120,41,10
"84",2020-06-26,174,120,41,10
"85",2020-06-27,189,133,42,10
"86",2020-06-28,189,119,56,10
"87",2020-06-29,190,119,57,10
"88",2020-06-30,193,120,59,10
"89",2020-07-01,196,123,59,10
"90",2020-07-02,218,139,64,11
"91",2020-07-03,236,157,64,11
"92",2020-07-04,263,181,66,12
"93",2020-07-05,264,179,69,12
"94",2020-07-06,268,181,70,13
"95",2020-07-07,271,184,70,13
"96",2020-07-08,275,176,81,13
"97",2020-07-09,294,193,83,13
"98",2020-07-10,298,188,91,14
"99",2020-07-11,300,184,97,14
"100",2020-07-12,301,175,106,15
"101",2020-07-13,302,160,122,15
"102",2020-07-14,323,180,123,15
"103",2020-07-15,339,189,128,16
"104",2020-07-16,350,191,129,24
"105",2020-07-17,352,193,129,24
"106",2020-07-18,380,218,130,26
"107",2020-07-19,397,227,135,29
"108",2020-07-20,397,220,142,29
"109",2020-07-21,408,227,145,32
"110",2020-07-22,442,234,170,34
"111",2020-07-23,448,235,175,34
"112",2020-07-24,468,221,209,34
"113",2020-07-25,468,179,252,36
"114",2020-07-26,472,154,279,36
"115",2020-07-27,477,161,280,36
"116",2020-07-28,486,135,313,38
"117",2020-07-29,512,151,322,39
"118",2020-07-30,539,169,331,39
"119",2020-07-31,556,181,336,39
"120",2020-08-01,562,179,344,39
"121",2020-08-02,572,176,355,41
"122",2020-08-03,585,183,361,41
"123",2020-08-04,594,187,366,41
"124",2020-08-05,603,192,369,42
"125",2020-08-06,623,201,380,42
"126",2020-08-07,640,212,385,43
"127",2020-08-08,652,223,386,43
"128",2020-08-09,653,217,393,43
"129",2020-08-10,659,218,398,43
"130",2020-08-11,663,197,422,44
"131",2020-08-12,687,186,457,44
"132",2020-08-13,692,181,466,45
"133",2020-08-14,694,178,470,46
"134",2020-08-15,702,180,476,46
"135",2020-08-16,703,174,483,46
"136",2020-08-17,708,162,500,46
"137",2020-08-18,713,148,519,46
"138",2020-08-19,741,141,554,46
"139",2020-08-20,752,152,554,46
"140",2020-08-21,754,154,554,46
"141",2020-08-22,763,159,558,46
"142",2020-08-23,767,159,562,46
"143",2020-08-24,782,172,563,47
"144",2020-08-25,791,149,593,49
"145",2020-08-26,792,140,603,49
"146",2020-08-27,792,132,611,49
"147",2020-08-28,792,132,611,49
"148",2020-08-29,792,127,616,49
"149",2020-08-30,796,128,619,49
"150",2020-08-31,798,130,619,49
"151",2020-09-01,801,130,622,49
"152",2020-09-02,813,120,644,49
"153",2020-09-03,816,117,650,49
"154",2020-09-04,819,119,651,49
"155",2020-09-05,821,118,654,49
"156",2020-09-06,827,124,654,49
"157",2020-09-07,827,115,663,49
"158",2020-09-08,830,117,663,50
"159",2020-09-09,844,128,666,50
"160",2020-09-10,854,131,673,50
"161",2020-09-11,855,131,674,50
"162",2020-09-12,856,132,674,50
"163",2020-09-13,859,131,678,50
"164",2020-09-14,863,134,679,50
"165",2020-09-15,865,134,681,50
"166",2020-09-16,900,137,711,52
"167",2020-09-17,905,137,716,52
"168",2020-09-18,906,137,717,52
"169",2020-09-19,918,142,724,52
"170",2020-09-20,920,142,726,52
"171",2020-09-21,931,101,778,52
"172",2020-09-22,944,95,797,52
"173",2020-09-23,945,91,802,52
"174",2020-09-24,948,66,830,52
"175",2020-09-25,951,69,830,52
"176",2020-09-26,953,70,831,52
"177",2020-09-27,967,66,849,52
"178",2020-09-28,970,61,857,52
"179",2020-09-29,980,67,861,52
"180",2020-09-30,982,68,862,52
"181",2020-10-01,1010,112,845,53
"182",2020-10-02,1013,102,858,53
"183",2020-10-03,1020,103,864,53
"184",2020-10-04,1035,96,886,53
"185",2020-10-05,1037,96,888,53
"186",2020-10-06,1040,78,909,53
"187",2020-10-07,1045,83,909,53
"188",2020-10-08,1052,80,919,53
"189",2020-10-09,1053,77,923,53
"190",2020-10-10,1059,75,931,53
"191",2020-10-11,1063,69,941,53
"192",2020-10-12,1064,63,948,53
"193",2020-10-13,1073,60,960,53
"194",2020-10-14,1075,57,965,53
"195",2020-10-15,1080,55,971,54
"196",2020-10-16,1097,71,972,54
"197",2020-10-17,1098,72,972,54
"198",2020-10-18,1098,72,972,54
"199",2020-10-19,1099,67,978,54
"200",2020-10-20,1099,67,978,54
"201",2020-10-21,1108,69,985,54
"202",2020-10-22,1112,58,1000,54
"203",2020-10-23,1114,60,1000,54
"204",2020-10-24,1115,61,1000,54
"205",2020-10-25,1121,60,1007,54
"206",2020-10-26,1121,38,1029,54
"207",2020-10-27,1126,43,1029,54
"208",2020-10-28,1134,48,1031,55
"209",2020-10-29,1135,48,1032,55
"210",2020-10-30,1135,47,1032,56
"211",2020-10-31,1138,31,1051,56
"212",2020-11-01,1139,30,1053,56
"213",2020-11-02,1139,25,1058,56
"214",2020-11-03,1139,21,1062,56
"215",2020-11-04,1141,24,1061,56
"216",2020-11-05,1150,23,1071,56
"217",2020-11-06,1150,23,1071,56
"218",2020-11-07,1156,28,1072,56
"219",2020-11-08,1166,38,1072,56
"220",2020-11-09,1166,38,1072,56
"221",2020-11-10,1171,43,1072,56
"222",2020-11-11,1173,39,1078,56
"223",2020-11-12,1181,43,1082,56
"224",2020-11-13,1184,44,1084,56
"225",2020-11-14,1186,38,1091,57
"226",2020-11-15,1192,40,1095,57
"227",2020-11-16,1193,40,1095,58
"228",2020-11-17,1196,38,1100,58
"229",2020-11-18,1199,39,1102,58
"230",2020-11-19,1204,35,1111,58
"231",2020-11-20,1210,38,1114,58
"232",2020-11-21,1213,31,1124,58
"233",2020-11-22,1241,56,1126,59
"234",2020-11-23,1242,57,1126,59
"235",2020-11-24,1242,57,1126,59
"236",2020-11-25,1254,58,1137,59
"237",2020-11-26,1275,79,1137,59
"238",2020-11-27,1284,87,1137,60
"239",2020-11-28,1297,92,1144,61
"240",2020-11-29,1325,105,1158,62
