"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",NA,NA,NA,NA,NA
"2",2020-03-22,NA,NA,NA,NA
"3",2020-03-23,NA,NA,NA,NA
"4",2020-03-24,NA,NA,NA,NA
"5",2020-03-25,NA,NA,NA,NA
"6",2020-03-26,NA,NA,NA,NA
"7",2020-03-27,NA,NA,NA,NA
"8",2020-03-28,NA,NA,NA,NA
"9",2020-03-29,NA,NA,NA,NA
"10",2020-03-30,NA,NA,NA,NA
"11",2020-03-31,NA,NA,NA,NA
"12",2020-04-01,NA,NA,NA,NA
"13",2020-04-02,NA,NA,NA,NA
"14",2020-04-03,NA,NA,NA,NA
"15",2020-04-04,NA,NA,NA,NA
"16",2020-04-05,NA,NA,NA,NA
"17",2020-04-06,NA,NA,NA,NA
"18",2020-04-07,NA,NA,NA,NA
"19",2020-04-08,NA,NA,NA,NA
"20",2020-04-09,NA,NA,NA,NA
"21",2020-04-10,NA,NA,NA,NA
"22",2020-04-11,NA,NA,NA,NA
"23",2020-04-12,NA,NA,NA,NA
"24",2020-04-13,NA,NA,NA,NA
"25",2020-04-14,NA,NA,NA,NA
"26",2020-04-15,NA,NA,NA,NA
"27",2020-04-16,NA,NA,NA,NA
"28",2020-04-17,NA,NA,NA,NA
"29",2020-04-18,NA,NA,NA,NA
"30",2020-04-19,NA,NA,NA,NA
"31",2020-04-20,NA,NA,NA,NA
"32",2020-04-21,NA,NA,NA,NA
"33",2020-04-22,NA,NA,NA,NA
"34",2020-04-23,NA,NA,NA,NA
"35",2020-04-24,NA,NA,NA,NA
"36",2020-04-25,NA,NA,NA,NA
"37",2020-04-26,NA,NA,NA,NA
"38",2020-04-27,NA,NA,NA,NA
"39",2020-04-28,NA,NA,NA,NA
"40",2020-04-29,NA,NA,NA,NA
"41",2020-04-30,NA,NA,NA,NA
"42",2020-05-01,NA,NA,NA,NA
"43",2020-05-02,NA,NA,NA,NA
"44",2020-05-03,NA,NA,NA,NA
"45",2020-05-04,NA,NA,NA,NA
"46",2020-05-05,NA,NA,NA,NA
"47",2020-05-06,NA,NA,NA,NA
"48",2020-05-07,NA,NA,NA,NA
"49",2020-05-08,NA,NA,NA,NA
"50",2020-05-09,NA,NA,NA,NA
"51",2020-05-10,NA,NA,NA,NA
"52",2020-05-11,NA,NA,NA,NA
"53",2020-05-12,NA,NA,NA,NA
"54",2020-05-13,NA,NA,NA,NA
"55",2020-05-14,NA,NA,NA,NA
"56",2020-05-15,NA,NA,NA,NA
"57",2020-05-16,NA,NA,NA,NA
"58",2020-05-17,NA,NA,NA,NA
"59",2020-05-18,NA,NA,NA,NA
"60",2020-05-19,NA,NA,NA,NA
"61",2020-05-20,NA,NA,NA,NA
"62",2020-05-21,NA,NA,NA,NA
"63",2020-05-22,NA,NA,NA,NA
"64",2020-05-23,NA,NA,NA,NA
"65",2020-05-24,NA,NA,NA,NA
"66",2020-05-25,NA,NA,NA,NA
"67",2020-05-26,NA,NA,NA,NA
"68",2020-05-27,NA,NA,NA,NA
"69",2020-05-28,NA,NA,NA,NA
"70",2020-05-29,NA,NA,NA,NA
"71",2020-05-30,NA,NA,NA,NA
"72",2020-05-31,420,322,24,67
"73",2020-06-01,430,325,24,74
"74",2020-06-02,NA,NA,NA,NA
"75",2020-06-03,NA,NA,NA,NA
"76",2020-06-04,NA,NA,NA,NA
"77",2020-06-05,NA,NA,NA,NA
"78",2020-06-06,NA,NA,NA,NA
"79",2020-06-07,NA,NA,NA,NA
"80",2020-06-08,NA,NA,NA,NA
"81",2020-06-09,NA,NA,NA,NA
"82",2020-06-10,NA,NA,NA,NA
"83",2020-06-11,NA,NA,NA,NA
"84",2020-06-12,NA,NA,NA,NA
"85",2020-06-13,NA,NA,NA,NA
"86",2020-06-14,NA,NA,NA,NA
"87",2020-06-15,882,721,49,97
"88",2020-06-16,919,756,51,97
"89",2020-06-17,986,811,58,99
"90",2020-06-18,1010,826,58,107
"91",2020-06-19,1014,819,68,108
"92",2020-06-20,1078,878,72,108
"93",2020-06-21,1105,893,76,112
"94",2020-06-22,1173,957,79,113
"95",2020-06-23,1184,964,83,113
"96",2020-06-24,1212,976,98,114
"97",2020-06-25,1225,973,113,115
"98",2020-06-26,1239,957,142,116
"99",2020-06-27,1244,948,156,116
"100",2020-06-28,1281,965,173,119
"101",2020-06-29,1304,978,183,119
"102",2020-06-30,1379,1034,201,120
"103",2020-07-01,1392,1022,226,120
"104",2020-07-02,1432,1047,240,121
"105",2020-07-03,1444,1038,256,126
"106",2020-07-04,1479,1073,276,126
"107",2020-07-05,1500,1066,283,127
"108",2020-07-06,1515,1071,293,127
"109",2020-07-07,1530,1074,304,128
"110",2020-07-08,1549,1063,334,128
"111",2020-07-09,1592,1094,346,128
"112",2020-07-10,1629,1121,356,128
"113",2020-07-11,1697,1180,364,129
"114",2020-07-12,1723,1167,396,136
"115",2020-07-13,1736,1168,408,136
"116",2020-07-14,1751,1181,410,136
"117",2020-07-15,1809,1213,436,136
"118",2020-07-16,1844,1213,470,137
"119",2020-07-17,1849,1211,477,137
"120",2020-07-18,1864,1192,511,137
"121",2020-07-19,1917,1223,533,137
"122",2020-07-20,NA,NA,NA,NA
"123",2020-07-21,NA,NA,NA,NA
"124",2020-07-22,2023,1232,630,137
"125",2020-07-23,2042,1142,737,139
"126",2020-07-24,2054,1044,847,139
"127",2020-07-25,2099,1045,890,140
"128",2020-07-26,2133,999,970,140
"129",2020-07-27,NA,NA,NA,NA
"130",2020-07-28,2176,950,1058,144
"131",2020-07-29,2189,912,1108,145
"132",2020-07-30,2189,921,1126,145
"133",2020-07-31,2189,1000,1136,145
"134",2020-08-01,NA,NA,NA,NA
"135",2020-08-02,2339,1009,1156,145
"136",2020-08-03,2339,961,1196,146
"137",2020-08-04,2376,968,1226,146
"138",2020-08-05,NA,NA,NA,NA
"139",2020-08-06,NA,NA,NA,NA
"140",2020-08-07,NA,NA,NA,NA
"141",2020-08-08,2474,1009,1281,148
"142",2020-08-09,NA,NA,NA,NA
"143",2020-08-10,2500,999,1313,148
"144",2020-08-11,2529,998,1333,148
"145",2020-08-12,NA,NA,NA,NA
"146",2020-08-13,2557,996,1363,148
"147",2020-08-14,NA,NA,NA,NA
"148",2020-08-15,NA,NA,NA,NA
"149",2020-08-16,NA,NA,NA,NA
"150",2020-08-17,NA,NA,NA,NA
"151",2020-08-18,2629,935,1487,152
"152",2020-08-19,2635,931,1497,152
"153",2020-08-20,NA,NA,NA,NA
"154",2020-08-21,2682,666,1808,153
"155",2020-08-22,NA,NA,NA,NA
"156",2020-08-23,NA,NA,NA,NA
"157",2020-08-24,2749,484,2056,154
"158",2020-08-25,NA,NA,NA,NA
"159",2020-08-26,2785,427,2148,155
"160",2020-08-27,2808,440,2158,155
"161",2020-08-28,NA,NA,NA,NA
"162",2020-08-29,NA,NA,NA,NA
"163",2020-08-30,2870,445,2214,156
"164",2020-08-31,2890,434,2244,157
"165",2020-09-01,2908,432,2264,157
"166",2020-09-02,NA,NA,NA,NA
"167",2020-09-03,NA,NA,NA,NA
"168",2020-09-04,NA,NA,NA,NA
"169",2020-09-05,NA,NA,NA,NA
"170",2020-09-06,2977,379,2384,158
"171",2020-09-07,NA,NA,NA,NA
"172",2020-09-08,NA,NA,NA,NA
"173",2020-09-09,NA,NA,NA,NA
"174",2020-09-10,NA,NA,NA,NA
"175",2020-09-11,NA,NA,NA,NA
"176",2020-09-12,NA,NA,NA,NA
"177",2020-09-13,NA,NA,NA,NA
"178",2020-09-14,NA,NA,NA,NA
"179",2020-09-15,NA,NA,NA,NA
"180",2020-09-16,NA,NA,NA,NA
"181",2020-09-17,NA,NA,NA,NA
"182",2020-09-18,NA,NA,NA,NA
"183",2020-09-19,NA,NA,NA,NA
"184",2020-09-20,NA,NA,NA,NA
"185",2020-09-21,NA,NA,NA,NA
"186",2020-09-22,NA,NA,NA,NA
"187",2020-09-23,3250,319,2711,160
"188",2020-09-24,3265,324,2721,160
"189",2020-09-25,3273,326,2727,160
"190",2020-09-26,NA,NA,NA,NA
"191",2020-09-27,3273,326,2727,160
"192",2020-09-28,NA,NA,NA,NA
"193",2020-09-29,3301,325,2756,160
"194",2020-09-30,NA,NA,NA,NA
"195",2020-10-01,3315,314,2781,160
"196",2020-10-02,3323,302,2791,160
"197",2020-10-03,NA,NA,NA,NA
"198",2020-10-04,NA,NA,NA,NA
"199",2020-10-05,3335,295,2810,160
"200",2020-10-06,3344,257,2857,160
"201",2020-10-07,NA,NA,NA,NA
"202",2020-10-08,NA,NA,NA,NA
"203",2020-10-09,NA,NA,NA,NA
"204",2020-10-10,NA,NA,NA,NA
"205",2020-10-11,NA,NA,NA,NA
"206",2020-10-12,NA,NA,NA,NA
"207",2020-10-13,3413,175,3003,163
"208",2020-10-14,3419,165,3018,164
"209",2020-10-15,NA,NA,NA,NA
"210",2020-10-16,NA,NA,NA,NA
"211",2020-10-17,NA,NA,NA,NA
"212",2020-10-18,NA,NA,NA,NA
"213",2020-10-19,3464,150,3078,164
"214",2020-10-20,NA,NA,NA,NA
"215",2020-10-21,3472,138,3098,164
"216",2020-10-22,NA,NA,NA,NA
"217",2020-10-23,3485,121,3128,164
"218",2020-10-24,3496,112,3148,164
"219",2020-10-25,3498,104,3158,164
"220",2020-10-26,3498,94,3168,164
"221",2020-10-27,3501,87,3178,164
"222",2020-10-28,3513,89,3188,164
"223",2020-10-29,NA,NA,NA,NA
"224",2020-10-30,NA,NA,NA,NA
"225",2020-10-31,NA,NA,NA,NA
"226",2020-11-01,NA,NA,NA,NA
"227",2020-11-02,3529,70,3223,164
"228",2020-11-03,3535,71,3228,164
"229",2020-11-04,3537,68,3233,164
"230",2020-11-05,3540,66,3238,164
"231",2020-11-06,NA,NA,NA,NA
"232",2020-11-07,NA,NA,NA,NA
"233",2020-11-08,3551,75,3238,166
"234",2020-11-09,3551,74,3238,167
"235",2020-11-10,3560,79,3242,167
"236",2020-11-11,3565,83,3242,168
"237",2020-11-12,3573,91,3242,168
"238",2020-11-13,3574,92,3242,168
"239",2020-11-14,NA,NA,NA,NA
"240",2020-11-15,3578,91,3247,168
"241",2020-11-16,3578,91,3247,168
"242",2020-11-17,3578,91,3247,168
"243",2020-11-18,3590,101,3247,170
"244",2020-11-19,3601,112,3247,170
"245",2020-11-20,3605,106,3257,170
"246",2020-11-21,NA,NA,NA,NA
"247",2020-11-22,NA,NA,NA,NA
"248",2020-11-23,3611,95,3272,172
"249",2020-11-24,3614,93,3277,172
"250",2020-11-25,3620,88,3287,173
"251",2020-11-26,3623,86,3292,173
"252",2020-11-27,NA,NA,NA,NA
"253",2020-11-28,3632,75,3312,173
"254",2020-11-29,3637,69,3323,173
"255",2020-11-30,3641,66,3330,173
"256",2020-12-01,3647,61,3340,174
"257",2020-12-02,3653,59,3348,174
"258",2020-12-03,3657,58,3353,174
"259",2020-12-04,3664,58,3360,174
"260",2020-12-05,NA,NA,NA,NA
"261",2020-12-06,3678,55,3377,174
"262",2020-12-07,3688,55,3387,174
"263",2020-12-08,3696,57,3392,175
"264",2020-12-09,3716,62,3407,175
"265",2020-12-10,3731,67,3417,175
"266",2020-12-11,NA,NA,NA,NA
