"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-07,NA,NA,NA,NA
"2",2020-04-08,NA,NA,NA,NA
"3",2020-04-09,NA,NA,NA,NA
"4",2020-04-10,NA,NA,NA,NA
"5",2020-04-11,NA,NA,NA,NA
"6",2020-04-12,NA,NA,NA,NA
"7",2020-04-13,NA,NA,NA,NA
"8",2020-04-14,NA,NA,NA,NA
"9",2020-04-15,NA,NA,NA,NA
"10",2020-04-16,NA,NA,NA,NA
"11",2020-04-17,NA,NA,NA,NA
"12",2020-04-18,NA,NA,NA,NA
"13",2020-04-19,NA,NA,NA,NA
"14",2020-04-20,NA,NA,NA,NA
"15",2020-04-21,NA,NA,NA,NA
"16",2020-04-22,NA,NA,NA,NA
"17",2020-04-23,NA,NA,NA,NA
"18",2020-04-24,NA,NA,NA,NA
"19",2020-04-25,NA,NA,NA,NA
"20",2020-04-26,NA,NA,NA,NA
"21",2020-04-27,NA,NA,NA,NA
"22",2020-04-28,NA,NA,NA,NA
"23",2020-04-29,NA,NA,NA,NA
"24",2020-04-30,NA,NA,NA,NA
"25",2020-05-01,NA,NA,NA,NA
"26",2020-05-02,NA,NA,NA,NA
"27",2020-05-03,NA,NA,NA,NA
"28",2020-05-04,NA,NA,NA,NA
"29",2020-05-05,NA,NA,NA,NA
"30",2020-05-06,NA,NA,NA,NA
"31",2020-05-07,NA,NA,NA,NA
"32",2020-05-08,NA,NA,NA,NA
"33",2020-05-09,NA,NA,NA,NA
"34",2020-05-10,NA,NA,NA,NA
"35",2020-05-11,NA,NA,NA,NA
"36",2020-05-12,NA,NA,NA,NA
"37",2020-05-13,NA,NA,NA,NA
"38",2020-05-14,NA,NA,NA,NA
"39",2020-05-15,NA,NA,NA,NA
"40",2020-05-16,NA,NA,NA,NA
"41",2020-05-17,NA,NA,NA,NA
"42",2020-05-18,NA,NA,NA,NA
"43",2020-05-19,NA,NA,NA,NA
"44",2020-05-20,NA,NA,NA,NA
"45",2020-05-21,NA,NA,NA,NA
"46",2020-05-22,NA,NA,NA,NA
"47",2020-05-23,NA,NA,NA,NA
"48",2020-05-24,NA,NA,NA,NA
"49",2020-05-25,NA,NA,NA,NA
"50",2020-05-26,NA,NA,NA,NA
"51",2020-05-27,NA,NA,NA,NA
"52",2020-05-28,NA,NA,NA,NA
"53",2020-05-29,NA,NA,NA,NA
"54",2020-05-30,NA,NA,NA,NA
"55",2020-05-31,NA,NA,NA,NA
"56",2020-06-01,NA,NA,NA,NA
"57",2020-06-02,NA,NA,NA,NA
"58",2020-06-03,NA,NA,NA,NA
"59",2020-06-04,NA,NA,NA,NA
"60",2020-06-05,NA,NA,NA,NA
"61",2020-06-06,NA,NA,NA,NA
"62",2020-06-07,NA,NA,NA,NA
"63",2020-06-08,NA,NA,NA,NA
"64",2020-06-09,NA,NA,NA,NA
"65",2020-06-10,NA,NA,NA,NA
"66",2020-06-11,NA,NA,NA,NA
"67",2020-06-12,NA,NA,NA,NA
"68",2020-06-13,NA,NA,NA,NA
"69",2020-06-14,NA,NA,NA,NA
"70",2020-06-15,179,152,24,3
"71",2020-06-16,214,186,25,3
"72",2020-06-17,219,189,27,3
"73",2020-06-18,222,191,28,3
"74",2020-06-19,222,191,28,3
"75",2020-06-20,224,191,30,3
"76",2020-06-21,229,196,30,3
"77",2020-06-22,229,196,30,3
"78",2020-06-23,231,190,38,3
"79",2020-06-24,241,197,41,3
"80",2020-06-25,247,202,42,3
"81",2020-06-26,253,207,43,3
"82",2020-06-27,261,203,55,3
"83",2020-06-28,261,189,68,4
"84",2020-06-29,261,188,69,4
"85",2020-06-30,261,188,69,4
"86",2020-07-01,262,186,72,4
"87",2020-07-02,262,183,75,4
"88",2020-07-03,282,203,75,4
"89",2020-07-04,282,203,75,4
"90",2020-07-05,282,203,75,4
"91",2020-07-06,290,211,75,4
"92",2020-07-07,295,177,114,4
"93",2020-07-08,297,169,123,5
"94",2020-07-09,298,167,126,5
"95",2020-07-10,300,168,127,5
"96",2020-07-11,304,161,138,5
"97",2020-07-12,304,152,147,5
"98",2020-07-13,318,164,149,5
"99",2020-07-14,321,167,149,5
"100",2020-07-15,321,167,149,5
"101",2020-07-16,323,163,155,5
"102",2020-07-17,324,155,164,5
"103",2020-07-18,324,137,182,5
"104",2020-07-19,329,129,195,5
"105",2020-07-20,342,135,202,5
"106",2020-07-21,362,146,211,5
"107",2020-07-22,368,145,217,6
"108",2020-07-23,373,150,217,6
"109",2020-07-24,376,134,236,6
"110",2020-07-25,378,134,238,6
"111",2020-07-26,403,159,238,6
"112",2020-07-27,404,159,239,6
"113",2020-07-28,NA,NA,NA,NA
"114",2020-07-29,405,142,257,6
"115",2020-07-30,426,153,267,6
"116",2020-07-31,431,157,268,6
"117",2020-08-01,431,155,270,6
"118",2020-08-02,439,162,271,6
"119",2020-08-03,446,166,274,6
"120",2020-08-04,NA,NA,NA,NA
"121",2020-08-05,NA,NA,NA,NA
"122",2020-08-06,459,153,300,6
"123",2020-08-07,466,155,305,6
"124",2020-08-08,NA,NA,NA,NA
"125",2020-08-09,NA,NA,NA,NA
"126",2020-08-10,NA,NA,NA,NA
"127",2020-08-11,492,139,347,6
"128",2020-08-12,493,136,351,6
"129",2020-08-13,497,134,357,6
"130",2020-08-14,498,128,364,6
"131",2020-08-15,NA,NA,NA,NA
"132",2020-08-16,NA,NA,NA,NA
"133",2020-08-17,NA,NA,NA,NA
"134",2020-08-18,NA,NA,NA,NA
"135",2020-08-19,501,126,369,6
"136",2020-08-20,NA,NA,NA,NA
"137",2020-08-21,NA,NA,NA,NA
"138",2020-08-22,NA,NA,NA,NA
"139",2020-08-23,NA,NA,NA,NA
"140",2020-08-24,NA,NA,NA,NA
"141",2020-08-25,NA,NA,NA,NA
"142",2020-08-26,NA,NA,NA,NA
"143",2020-08-27,NA,NA,NA,NA
"144",2020-08-28,NA,NA,NA,NA
"145",2020-08-29,NA,NA,NA,NA
"146",2020-08-30,NA,NA,NA,NA
"147",2020-08-31,NA,NA,NA,NA
"148",2020-09-01,NA,NA,NA,NA
"149",2020-09-02,NA,NA,NA,NA
"150",2020-09-03,NA,NA,NA,NA
"151",2020-09-04,NA,NA,NA,NA
"152",2020-09-05,NA,NA,NA,NA
"153",2020-09-06,NA,NA,NA,NA
"154",2020-09-07,NA,NA,NA,NA
"155",2020-09-08,NA,NA,NA,NA
"156",2020-09-09,595,125,463,7
"157",2020-09-10,NA,NA,NA,NA
"158",2020-09-11,NA,NA,NA,NA
"159",2020-09-12,NA,NA,NA,NA
"160",2020-09-13,NA,NA,NA,NA
"161",2020-09-14,NA,NA,NA,NA
"162",2020-09-15,NA,NA,NA,NA
"163",2020-09-16,NA,NA,NA,NA
"164",2020-09-17,NA,NA,NA,NA
"165",2020-09-18,610,99,504,7
"166",2020-09-19,611,96,508,7
"167",2020-09-20,611,74,530,7
"168",2020-09-21,611,49,555,7
"169",2020-09-22,611,49,555,7
"170",2020-09-23,614,48,559,7
"171",2020-09-24,NA,NA,NA,NA
"172",2020-09-25,NA,NA,NA,NA
"173",2020-09-26,629,46,576,7
"174",2020-09-27,632,46,579,7
"175",2020-09-28,632,49,576,7
"176",2020-09-29,NA,NA,NA,NA
"177",2020-09-30,NA,NA,NA,NA
"178",2020-10-01,635,40,587,8
"179",2020-10-02,640,42,590,8
"180",2020-10-03,641,38,595,8
"181",2020-10-04,641,38,595,8
"182",2020-10-05,NA,NA,NA,NA
"183",2020-10-06,NA,NA,NA,NA
"184",2020-10-07,NA,NA,NA,NA
"185",2020-10-08,NA,NA,NA,NA
"186",2020-10-09,NA,NA,NA,NA
"187",2020-10-10,NA,NA,NA,NA
"188",2020-10-11,NA,NA,NA,NA
"189",2020-10-12,NA,NA,NA,NA
"190",2020-10-13,652,22,622,8
"191",2020-10-14,654,18,628,8
"192",2020-10-15,662,24,630,8
"193",2020-10-16,666,28,630,8
"194",2020-10-17,NA,NA,NA,NA
"195",2020-10-18,NA,NA,NA,NA
"196",2020-10-19,NA,NA,NA,NA
"197",2020-10-20,NA,NA,NA,NA
"198",2020-10-21,NA,NA,NA,NA
"199",2020-10-22,NA,NA,NA,NA
"200",2020-10-23,NA,NA,NA,NA
"201",2020-10-24,NA,NA,NA,NA
"202",2020-10-25,NA,NA,NA,NA
"203",2020-10-26,NA,NA,NA,NA
"204",2020-10-27,684,33,642,9
"205",2020-10-28,NA,NA,NA,NA
"206",2020-10-29,NA,NA,NA,NA
"207",2020-10-30,NA,NA,NA,NA
"208",2020-10-31,692,24,656,12
"209",2020-11-01,NA,NA,NA,NA
"210",2020-11-02,NA,NA,NA,NA
"211",2020-11-03,NA,NA,NA,NA
"212",2020-11-04,NA,NA,NA,NA
"213",2020-11-05,NA,NA,NA,NA
"214",2020-11-06,NA,NA,NA,NA
"215",2020-11-07,NA,NA,NA,NA
"216",2020-11-08,709,25,672,12
"217",2020-11-09,NA,NA,NA,NA
"218",2020-11-10,NA,NA,NA,NA
"219",2020-11-11,NA,NA,NA,NA
"220",2020-11-12,736,46,678,12
"221",2020-11-13,NA,NA,NA,NA
"222",2020-11-14,750,55,683,12
"223",2020-11-15,NA,NA,NA,NA
"224",2020-11-16,NA,NA,NA,NA
"225",2020-11-17,NA,NA,NA,NA
"226",2020-11-18,NA,NA,NA,NA
"227",2020-11-19,NA,NA,NA,NA
"228",2020-11-20,NA,NA,NA,NA
"229",2020-11-21,762,43,706,13
"230",2020-11-22,762,43,706,13
"231",2020-11-23,NA,NA,NA,NA
"232",2020-11-24,NA,NA,NA,NA
"233",2020-11-25,NA,NA,NA,NA
"234",2020-11-26,NA,NA,NA,NA
"235",2020-11-27,NA,NA,NA,NA
"236",2020-11-28,NA,NA,NA,NA
"237",2020-11-29,NA,NA,NA,NA
"238",2020-11-30,NA,NA,NA,NA
"239",2020-12-01,NA,NA,NA,NA
"240",2020-12-02,NA,NA,NA,NA
"241",2020-12-03,NA,NA,NA,NA
"242",2020-12-04,NA,NA,NA,NA
"243",2020-12-05,NA,NA,NA,NA
"244",2020-12-06,NA,NA,NA,NA
"245",2020-12-07,NA,NA,NA,NA
"246",2020-12-08,NA,NA,NA,NA
"247",2020-12-09,823,53,757,13
"248",2020-12-10,NA,NA,NA,NA
"249",2020-12-11,NA,NA,NA,NA
"250",2020-12-12,NA,NA,NA,NA
"251",2020-12-13,NA,NA,NA,NA
"252",2020-12-14,NA,NA,NA,NA
"253",2020-12-15,NA,NA,NA,NA
"254",2020-12-16,NA,NA,NA,NA
"255",2020-12-17,NA,NA,NA,NA
"256",2020-12-18,NA,NA,NA,NA
"257",2020-12-19,NA,NA,NA,NA
"258",2020-12-20,NA,NA,NA,NA
"259",2020-12-21,NA,NA,NA,NA
"260",2020-12-22,NA,NA,NA,NA
"261",2020-12-23,NA,NA,NA,NA
"262",2020-12-24,NA,NA,NA,NA
"263",2020-12-25,NA,NA,NA,NA
"264",2020-12-26,NA,NA,NA,NA
"265",2020-12-27,NA,NA,NA,NA
"266",2020-12-28,NA,NA,NA,NA
"267",2020-12-29,NA,NA,NA,NA
"268",2020-12-30,NA,NA,NA,NA
"269",2020-12-31,NA,NA,NA,NA
"270",2021-01-01,NA,NA,NA,NA
"271",2021-01-02,NA,NA,NA,NA
"272",2021-01-03,NA,NA,NA,NA
"273",2021-01-04,NA,NA,NA,NA
"274",2021-01-05,NA,NA,NA,NA
"275",2021-01-06,NA,NA,NA,NA
"276",2021-01-07,NA,NA,NA,NA
"277",2021-01-08,NA,NA,NA,NA
"278",2021-01-09,NA,NA,NA,NA
"279",2021-01-10,NA,NA,NA,NA
"280",2021-01-11,NA,NA,NA,NA
"281",2021-01-12,NA,NA,NA,NA
"282",2021-01-13,NA,NA,NA,NA
"283",2021-01-14,NA,NA,NA,NA
"284",2021-01-15,NA,NA,NA,NA
"285",2021-01-16,NA,NA,NA,NA
"286",2021-01-17,NA,NA,NA,NA
"287",2021-01-18,NA,NA,NA,NA
"288",2021-01-19,NA,NA,NA,NA
"289",2021-01-20,NA,NA,NA,NA
"290",2021-01-21,NA,NA,NA,NA
"291",2021-01-22,NA,NA,NA,NA
"292",2021-01-23,NA,NA,NA,NA
"293",2021-01-24,NA,NA,NA,NA
"294",2021-01-25,NA,NA,NA,NA
"295",2021-01-26,NA,NA,NA,NA
"296",2021-01-27,NA,NA,NA,NA
"297",2021-01-28,NA,NA,NA,NA
"298",2021-01-29,NA,NA,NA,NA
"299",2021-01-30,NA,NA,NA,NA
"300",2021-01-31,NA,NA,NA,NA
"301",2021-02-01,NA,NA,NA,NA
"302",2021-02-02,NA,NA,NA,NA
"303",2021-02-03,NA,NA,NA,NA
"304",2021-02-04,NA,NA,NA,NA
"305",2021-02-05,NA,NA,NA,NA
"306",2021-02-06,NA,NA,NA,NA
"307",2021-02-07,NA,NA,NA,NA
"308",2021-02-08,NA,NA,NA,NA
"309",2021-02-09,NA,NA,NA,NA
"310",2021-02-10,NA,NA,NA,NA
"311",2021-02-11,NA,NA,NA,NA
"312",2021-02-12,NA,NA,NA,NA
"313",2021-02-13,NA,NA,NA,NA
"314",2021-02-14,NA,NA,NA,NA
"315",2021-02-15,NA,NA,NA,NA
"316",2021-02-16,NA,NA,NA,NA
"317",2021-02-17,NA,NA,NA,NA
"318",2021-02-18,NA,NA,NA,NA
"319",2021-02-19,NA,NA,NA,NA
"320",2021-02-20,1318,162,1141,15
"321",2021-02-21,1318,154,1149,15
"322",2021-02-22,1318,153,1149,16
"323",2021-02-23,1321,155,1150,16
"324",2021-02-24,1354,173,1165,16
"325",2021-02-25,1395,190,1189,16
"326",2021-02-26,NA,NA,NA,NA
"327",2021-02-27,1412,182,1214,16
"328",2021-02-28,1413,184,1213,16
"329",2021-03-01,1413,183,1213,17
"330",2021-03-02,1418,186,1215,17
"331",2021-03-03,1436,188,1231,17
"332",2021-03-04,1450,180,1253,17
"333",2021-03-05,NA,NA,NA,NA
"334",2021-03-06,NA,NA,NA,NA
"335",2021-03-07,1454,163,1274,17
"336",2021-03-08,NA,NA,NA,NA
"337",2021-03-09,NA,NA,NA,NA
"338",2021-03-10,NA,NA,NA,NA
"339",2021-03-11,NA,NA,NA,NA
"340",2021-03-12,NA,NA,NA,NA
"341",2021-03-13,NA,NA,NA,NA
"342",2021-03-14,1509,119,1371,19
"343",2021-03-15,NA,NA,NA,NA
"344",2021-03-16,1520,102,1397,21
"345",2021-03-17,1541,121,1399,21
"346",2021-03-18,NA,NA,NA,NA
"347",2021-03-19,NA,NA,NA,NA
"348",2021-03-20,NA,NA,NA,NA
"349",2021-03-21,NA,NA,NA,NA
"350",2021-03-22,NA,NA,NA,NA
"351",2021-03-23,NA,NA,NA,NA
"352",2021-03-24,1649,178,1450,21
"353",2021-03-25,1673,189,1463,21
"354",2021-03-26,NA,NA,NA,NA
"355",2021-03-27,NA,NA,NA,NA
"356",2021-03-28,NA,NA,NA,NA
"357",2021-03-29,NA,NA,NA,NA
"358",2021-03-30,NA,NA,NA,NA
"359",2021-03-31,1722,206,1494,22
