"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-17,0,0,0,0
"2",2020-04-18,0,0,0,0
"3",2020-04-19,0,0,0,0
"4",2020-04-20,0,0,0,0
"5",2020-04-21,0,0,0,0
"6",2020-04-22,0,0,0,0
"7",2020-04-23,0,0,0,0
"8",2020-04-24,0,0,0,0
"9",2020-04-25,0,0,0,0
"10",2020-04-26,0,0,0,0
"11",2020-04-27,0,0,0,0
"12",2020-04-28,0,0,0,0
"13",2020-04-29,0,0,0,0
"14",2020-04-30,0,0,0,0
"15",2020-05-01,0,0,0,0
"16",2020-05-02,0,0,0,0
"17",2020-05-03,0,0,0,0
"18",2020-05-04,0,0,0,0
"19",2020-05-05,0,0,0,0
"20",2020-05-06,0,0,0,0
"21",2020-05-07,0,0,0,0
"22",2020-05-08,0,0,0,0
"23",2020-05-09,0,0,0,0
"24",2020-05-10,0,0,0,0
"25",2020-05-11,0,0,0,0
"26",2020-05-12,0,0,0,0
"27",2020-05-13,0,0,0,0
"28",2020-05-14,0,0,0,0
"29",2020-05-15,0,0,0,0
"30",2020-05-16,0,0,0,0
"31",2020-05-17,0,0,0,0
"32",2020-05-18,0,0,0,0
"33",2020-05-19,0,0,0,0
"34",2020-05-20,0,0,0,0
"35",2020-05-21,0,0,0,0
"36",2020-05-22,0,0,0,0
"37",2020-05-23,0,0,0,0
"38",2020-05-24,0,0,0,0
"39",2020-05-25,0,0,0,0
"40",2020-05-26,0,0,0,0
"41",2020-05-27,0,0,0,0
"42",2020-05-28,0,0,0,0
"43",2020-05-29,0,0,0,0
"44",2020-05-30,0,0,0,0
"45",2020-05-31,0,0,0,0
"46",2020-06-01,0,0,0,0
"47",2020-06-02,0,0,0,0
"48",2020-06-03,0,0,0,0
"49",2020-06-04,0,0,0,0
"50",2020-06-05,0,0,0,0
"51",2020-06-06,0,0,0,0
"52",2020-06-07,0,0,0,0
"53",2020-06-08,0,0,0,0
"54",2020-06-09,0,0,0,0
"55",2020-06-10,0,0,0,0
"56",2020-06-11,0,0,0,0
"57",2020-06-12,0,0,0,0
"58",2020-06-13,0,0,0,0
"59",2020-06-14,0,0,0,0
"60",2020-06-15,43,38,5,0
"61",2020-06-16,44,38,5,1
"62",2020-06-17,44,38,5,1
"63",2020-06-18,58,42,15,1
"64",2020-06-19,59,43,15,1
"65",2020-06-20,59,43,15,1
"66",2020-06-21,59,43,15,1
"67",2020-06-22,59,43,15,1
"68",2020-06-23,59,43,15,1
"69",2020-06-24,59,43,15,1
"70",2020-06-25,60,26,33,1
"71",2020-06-26,60,25,34,1
"72",2020-06-27,60,25,34,1
"73",2020-06-28,60,25,34,1
"74",2020-06-29,60,24,34,2
"75",2020-06-30,60,24,34,2
"76",2020-07-01,60,24,34,2
"77",2020-07-02,60,24,34,2
"78",2020-07-03,66,27,37,2
"79",2020-07-04,66,27,37,2
"80",2020-07-05,NA,NA,NA,NA
"81",2020-07-06,66,27,37,2
"82",2020-07-07,72,25,45,2
"83",2020-07-08,72,16,54,2
"84",2020-07-09,NA,NA,NA,NA
"85",2020-07-10,72,18,52,2
"86",2020-07-11,72,18,52,2
"87",2020-07-12,73,19,52,2
"88",2020-07-13,75,21,52,2
"89",2020-07-14,76,22,52,2
"90",2020-07-15,76,16,58,2
"91",2020-07-16,NA,NA,NA,NA
"92",2020-07-17,76,16,58,2
"93",2020-07-18,92,26,62,4
"94",2020-07-19,92,26,62,4
"95",2020-07-20,92,26,62,4
"96",2020-07-21,NA,NA,NA,NA
"97",2020-07-22,NA,NA,NA,NA
"98",2020-07-23,94,24,66,4
"99",2020-07-24,NA,NA,NA,NA
"100",2020-07-25,96,25,66,5
"101",2020-07-26,96,25,66,5
"102",2020-07-27,96,25,66,5
"103",2020-07-28,NA,NA,NA,NA
"104",2020-07-29,97,26,66,5
"105",2020-07-30,97,26,66,5
"106",2020-07-31,97,26,66,5
"107",2020-08-01,97,26,66,5
"108",2020-08-02,97,26,66,5
"109",2020-08-03,NA,NA,NA,NA
"110",2020-08-04,102,31,66,5
"111",2020-08-05,102,31,66,5
"112",2020-08-06,NA,NA,NA,NA
"113",2020-08-07,NA,NA,NA,NA
"114",2020-08-08,NA,NA,NA,NA
"115",2020-08-09,NA,NA,NA,NA
"116",2020-08-10,126,39,80,7
"117",2020-08-11,126,39,80,7
"118",2020-08-12,137,50,80,7
"119",2020-08-13,NA,NA,NA,NA
"120",2020-08-14,NA,NA,NA,NA
"121",2020-08-15,142,55,80,7
"122",2020-08-16,NA,NA,NA,NA
"123",2020-08-17,143,56,80,7
"124",2020-08-18,143,56,80,7
"125",2020-08-19,148,60,80,8
"126",2020-08-20,169,81,80,8
"127",2020-08-21,NA,NA,NA,NA
"128",2020-08-22,172,82,82,8
"129",2020-08-23,172,82,82,8
"130",2020-08-24,172,82,82,8
"131",2020-08-25,183,80,95,8
"132",2020-08-26,185,81,96,8
"133",2020-08-27,185,76,101,8
