"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-09,0,0,0,0
"2",2020-04-10,0,0,0,0
"3",2020-04-11,0,0,0,0
"4",2020-04-12,0,0,0,0
"5",2020-04-13,0,0,0,0
"6",2020-04-14,0,0,0,0
"7",2020-04-15,0,0,0,0
"8",2020-04-16,0,0,0,0
"9",2020-04-17,0,0,0,0
"10",2020-04-18,0,0,0,0
"11",2020-04-19,0,0,0,0
"12",2020-04-20,0,0,0,0
"13",2020-04-21,0,0,0,0
"14",2020-04-22,0,0,0,0
"15",2020-04-23,0,0,0,0
"16",2020-04-24,0,0,0,0
"17",2020-04-25,0,0,0,0
"18",2020-04-26,0,0,0,0
"19",2020-04-27,0,0,0,0
"20",2020-04-28,0,0,0,0
"21",2020-04-29,0,0,0,0
"22",2020-04-30,0,0,0,0
"23",2020-05-01,0,0,0,0
"24",2020-05-02,0,0,0,0
"25",2020-05-03,0,0,0,0
"26",2020-05-04,0,0,0,0
"27",2020-05-05,0,0,0,0
"28",2020-05-06,0,0,0,0
"29",2020-05-07,0,0,0,0
"30",2020-05-08,0,0,0,0
"31",2020-05-09,0,0,0,0
"32",2020-05-10,0,0,0,0
"33",2020-05-11,0,0,0,0
"34",2020-05-12,0,0,0,0
"35",2020-05-13,0,0,0,0
"36",2020-05-14,0,0,0,0
"37",2020-05-15,0,0,0,0
"38",2020-05-16,0,0,0,0
"39",2020-05-17,0,0,0,0
"40",2020-05-18,0,0,0,0
"41",2020-05-19,0,0,0,0
"42",2020-05-20,0,0,0,0
"43",2020-05-21,0,0,0,0
"44",2020-05-22,0,0,0,0
"45",2020-05-23,0,0,0,0
"46",2020-05-24,0,0,0,0
"47",2020-05-25,0,0,0,0
"48",2020-05-26,0,0,0,0
"49",2020-05-27,0,0,0,0
"50",2020-05-28,0,0,0,0
"51",2020-05-29,0,0,0,0
"52",2020-05-30,0,0,0,0
"53",2020-05-31,0,0,0,0
"54",2020-06-01,0,0,0,0
"55",2020-06-02,0,0,0,0
"56",2020-06-03,0,0,0,0
"57",2020-06-04,0,0,0,0
"58",2020-06-05,0,0,0,0
"59",2020-06-06,0,0,0,0
"60",2020-06-07,0,0,0,0
"61",2020-06-08,0,0,0,0
"62",2020-06-09,0,0,0,0
"63",2020-06-10,0,0,0,0
"64",2020-06-11,0,0,0,0
"65",2020-06-12,0,0,0,0
"66",2020-06-13,0,0,0,0
"67",2020-06-14,0,0,0,0
"68",2020-06-15,0,0,0,0
"69",2020-06-16,140,101,36,3
"70",2020-06-17,140,33,104,3
"71",2020-06-18,143,36,104,3
"72",2020-06-19,143,35,105,3
"73",2020-06-20,147,37,107,3
"74",2020-06-21,NA,NA,NA,NA
"75",2020-06-22,148,38,107,3
"76",2020-06-23,150,40,107,3
"77",2020-06-24,150,40,107,3
"78",2020-06-25,153,43,107,3
"79",2020-06-26,153,41,109,3
"80",2020-06-27,153,35,115,3
"81",2020-06-28,153,35,115,3
"82",2020-06-29,153,35,115,3
"83",2020-06-30,155,36,116,3
"84",2020-07-01,156,37,116,3
"85",2020-07-02,156,36,117,3
"86",2020-07-03,156,36,117,3
"87",2020-07-04,NA,NA,NA,NA
"88",2020-07-05,NA,NA,NA,NA
"89",2020-07-06,159,34,122,3
"90",2020-07-07,NA,NA,NA,NA
"91",2020-07-08,169,37,129,3
"92",2020-07-09,169,37,129,3
"93",2020-07-10,NA,NA,NA,NA
"94",2020-07-11,174,35,136,3
"95",2020-07-12,174,34,137,3
"96",2020-07-13,191,45,143,3
"97",2020-07-14,194,47,144,3
"98",2020-07-15,194,45,146,3
"99",2020-07-16,197,48,146,3
"100",2020-07-17,197,48,146,3
"101",2020-07-18,206,57,146,3
"102",2020-07-19,208,54,151,3
"103",2020-07-20,209,55,151,3
"104",2020-07-21,NA,NA,NA,NA
"105",2020-07-22,209,44,162,3
"106",2020-07-23,213,40,170,3
"107",2020-07-24,215,37,174,4
"108",2020-07-25,215,33,178,4
"109",2020-07-26,215,31,180,4
"110",2020-07-27,215,29,182,4
"111",2020-07-28,230,43,183,4
"112",2020-07-29,239,52,183,4
"113",2020-07-30,241,43,194,4
"114",2020-07-31,NA,NA,NA,NA
"115",2020-08-01,NA,NA,NA,NA
"116",2020-08-02,248,49,195,4
"117",2020-08-03,248,49,195,4
"118",2020-08-04,253,54,195,4
"119",2020-08-05,NA,NA,NA,NA
"120",2020-08-06,259,59,195,5
"121",2020-08-07,261,61,195,5
"122",2020-08-08,NA,NA,NA,NA
"123",2020-08-09,268,46,217,5
"124",2020-08-10,NA,NA,NA,NA
"125",2020-08-11,270,46,219,5
"126",2020-08-12,271,47,219,5
"127",2020-08-13,273,48,220,5
"128",2020-08-14,273,47,220,6
"129",2020-08-15,273,47,220,6
"130",2020-08-16,278,52,220,6
"131",2020-08-17,279,53,220,6
"132",2020-08-18,287,61,220,6
"133",2020-08-19,NA,NA,NA,NA
"134",2020-08-20,287,61,220,6
"135",2020-08-21,294,68,220,6
"136",2020-08-22,297,71,220,6
"137",2020-08-23,NA,NA,NA,NA
"138",2020-08-24,299,62,231,6
"139",2020-08-25,NA,NA,NA,NA
"140",2020-08-26,307,69,231,7
"141",2020-08-27,315,42,266,7
"142",2020-08-28,317,34,276,7
"143",2020-08-29,NA,NA,NA,NA
