"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-17,3,3,0,0
"2",2020-04-18,3,3,0,0
"3",2020-04-19,3,3,0,0
"4",2020-04-20,3,3,0,0
"5",2020-04-21,3,3,0,0
"6",2020-04-22,3,3,0,0
"7",2020-04-23,3,3,0,0
"8",2020-04-24,3,3,0,0
"9",2020-04-25,4,4,0,0
"10",2020-04-26,4,4,0,0
"11",2020-04-27,4,4,0,0
"12",2020-04-28,4,4,0,0
"13",2020-04-29,4,4,0,0
"14",2020-04-30,13,12,1,0
"15",2020-05-01,13,12,1,0
"16",2020-05-02,13,12,1,0
"17",2020-05-03,13,12,1,0
"18",2020-05-04,13,12,1,0
"19",2020-05-05,13,11,2,0
"20",2020-05-06,13,11,2,0
"21",2020-05-07,15,13,2,0
"22",2020-05-08,15,13,2,0
"23",2020-05-09,15,13,2,0
"24",2020-05-10,16,14,2,0
"25",2020-05-11,16,14,2,0
"26",2020-05-12,20,15,5,0
"27",2020-05-13,20,15,5,0
"28",2020-05-14,20,15,5,0
"29",2020-05-15,29,22,7,0
"30",2020-05-16,29,22,7,0
"31",2020-05-17,29,22,7,0
"32",2020-05-18,47,40,7,0
"33",2020-05-19,49,41,7,1
"34",2020-05-20,49,41,7,1
"35",2020-05-21,49,41,7,1
"36",2020-05-22,49,41,7,1
"37",2020-05-23,53,45,7,1
"38",2020-05-24,53,45,7,1
"39",2020-05-25,53,45,7,1
"40",2020-05-26,58,50,7,1
"41",2020-05-27,60,52,7,1
"42",2020-05-28,60,52,7,1
"43",2020-05-29,60,52,7,1
"44",2020-05-30,62,46,15,1
"45",2020-05-31,62,46,15,1
"46",2020-06-01,63,47,15,1
"47",2020-06-02,63,47,15,1
"48",2020-06-03,81,64,16,1
"49",2020-06-04,81,64,16,1
"50",2020-06-05,83,65,17,1
"51",2020-06-06,85,67,17,1
"52",2020-06-07,86,67,18,1
"53",2020-06-08,91,71,18,2
