"","Tanggal","Jumlah.kasus.kumulatif","Jumlah.pasien.dalam.perawatan","Jumlah.pasien.sembuh","Jumlah.pasien.meninggal"
"1",2020-04-07,NA,NA,NA,NA
"2",2020-04-08,NA,NA,NA,NA
"3",2020-04-09,NA,NA,NA,NA
"4",2020-04-10,NA,NA,NA,NA
"5",2020-04-11,NA,NA,NA,NA
"6",2020-04-12,NA,NA,NA,NA
"7",2020-04-13,NA,NA,NA,NA
"8",2020-04-14,NA,NA,NA,NA
"9",2020-04-15,NA,NA,NA,NA
"10",2020-04-16,NA,NA,NA,NA
"11",2020-04-17,NA,NA,NA,NA
"12",2020-04-18,NA,NA,NA,NA
"13",2020-04-19,NA,NA,NA,NA
"14",2020-04-20,NA,NA,NA,NA
"15",2020-04-21,NA,NA,NA,NA
"16",2020-04-22,NA,NA,NA,NA
"17",2020-04-23,NA,NA,NA,NA
"18",2020-04-24,NA,NA,NA,NA
"19",2020-04-25,NA,NA,NA,NA
"20",2020-04-26,NA,NA,NA,NA
"21",2020-04-27,NA,NA,NA,NA
"22",2020-04-28,NA,NA,NA,NA
"23",2020-04-29,NA,NA,NA,NA
"24",2020-04-30,NA,NA,NA,NA
"25",2020-05-01,NA,NA,NA,NA
"26",2020-05-02,NA,NA,NA,NA
"27",2020-05-03,NA,NA,NA,NA
"28",2020-05-04,NA,NA,NA,NA
"29",2020-05-05,NA,NA,NA,NA
"30",2020-05-06,NA,NA,NA,NA
"31",2020-05-07,NA,NA,NA,NA
"32",2020-05-08,NA,NA,NA,NA
"33",2020-05-09,NA,NA,NA,NA
"34",2020-05-10,NA,NA,NA,NA
"35",2020-05-11,NA,NA,NA,NA
"36",2020-05-12,NA,NA,NA,NA
"37",2020-05-13,NA,NA,NA,NA
"38",2020-05-14,NA,NA,NA,NA
"39",2020-05-15,NA,NA,NA,NA
"40",2020-05-16,NA,NA,NA,NA
"41",2020-05-17,NA,NA,NA,NA
"42",2020-05-18,NA,NA,NA,NA
"43",2020-05-19,NA,NA,NA,NA
"44",2020-05-20,NA,NA,NA,NA
"45",2020-05-21,NA,NA,NA,NA
"46",2020-05-22,NA,NA,NA,NA
"47",2020-05-23,NA,NA,NA,NA
"48",2020-05-24,NA,NA,NA,NA
"49",2020-05-25,NA,NA,NA,NA
"50",2020-05-26,NA,NA,NA,NA
"51",2020-05-27,NA,NA,NA,NA
"52",2020-05-28,NA,NA,NA,NA
"53",2020-05-29,NA,NA,NA,NA
"54",2020-05-30,NA,NA,NA,NA
"55",2020-05-31,NA,NA,NA,NA
"56",2020-06-01,NA,NA,NA,NA
"57",2020-06-02,NA,NA,NA,NA
"58",2020-06-03,NA,NA,NA,NA
"59",2020-06-04,NA,NA,NA,NA
"60",2020-06-05,NA,NA,NA,NA
"61",2020-06-06,NA,NA,NA,NA
"62",2020-06-07,NA,NA,NA,NA
"63",2020-06-08,NA,NA,NA,NA
"64",2020-06-09,NA,NA,NA,NA
"65",2020-06-10,NA,NA,NA,NA
"66",2020-06-11,NA,NA,NA,NA
"67",2020-06-12,NA,NA,NA,NA
"68",2020-06-13,NA,NA,NA,NA
"69",2020-06-14,NA,NA,NA,NA
"70",2020-06-15,65,42,22,1
"71",2020-06-16,82,58,23,1
"72",2020-06-17,84,58,25,1
"73",2020-06-18,NA,NA,NA,NA
"74",2020-06-19,87,58,28,1
"75",2020-06-20,87,58,28,1
"76",2020-06-21,87,58,28,1
"77",2020-06-22,87,58,28,1
"78",2020-06-23,87,58,28,1
"79",2020-06-24,92,62,28,2
"80",2020-06-25,104,65,37,2
"81",2020-06-26,104,65,37,2
"82",2020-06-27,104,59,43,2
"83",2020-06-28,104,58,44,2
"84",2020-06-29,105,59,44,2
"85",2020-06-30,105,59,44,2
"86",2020-07-01,105,59,44,2
"87",2020-07-02,108,61,44,3
"88",2020-07-03,109,62,44,3
"89",2020-07-04,NA,NA,NA,NA
"90",2020-07-05,NA,NA,NA,NA
"91",2020-07-06,130,81,46,3
"92",2020-07-07,131,81,47,3
"93",2020-07-08,131,80,48,3
"94",2020-07-09,131,80,48,3
"95",2020-07-10,132,79,50,3
"96",2020-07-11,132,79,50,3
"97",2020-07-12,NA,NA,NA,NA
"98",2020-07-13,133,59,71,3
"99",2020-07-14,158,84,71,3
"100",2020-07-15,158,84,71,3
"101",2020-07-16,NA,NA,NA,NA
"102",2020-07-17,NA,NA,NA,NA
"103",2020-07-18,184,78,103,3
"104",2020-07-19,185,79,103,3
"105",2020-07-20,185,79,103,3
"106",2020-07-21,185,79,103,3
"107",2020-07-22,185,32,150,3
"108",2020-07-23,193,40,150,3
"109",2020-07-24,NA,NA,NA,NA
"110",2020-07-25,NA,NA,NA,NA
"111",2020-07-26,NA,NA,NA,NA
"112",2020-07-27,194,34,157,3
"113",2020-07-28,NA,NA,NA,NA
"114",2020-07-29,201,38,159,4
"115",2020-07-30,201,33,164,4
"116",2020-07-31,NA,NA,NA,NA
"117",2020-08-01,203,20,179,4
"118",2020-08-02,203,20,179,4
"119",2020-08-03,204,20,179,5
"120",2020-08-04,206,22,179,5
"121",2020-08-05,206,22,179,5
"122",2020-08-06,206,22,179,5
"123",2020-08-07,206,22,179,5
"124",2020-08-08,212,26,181,5
"125",2020-08-09,NA,NA,NA,NA
"126",2020-08-10,211,25,181,5
"127",2020-08-11,213,26,182,5
"128",2020-08-12,214,27,182,5
"129",2020-08-13,214,23,186,5
"130",2020-08-14,215,24,186,5
"131",2020-08-15,215,24,186,5
"132",2020-08-16,215,24,186,5
"133",2020-08-17,215,23,187,5
"134",2020-08-18,223,32,186,5
"135",2020-08-19,228,37,186,5
"136",2020-08-20,233,41,187,5
"137",2020-08-21,235,43,187,5
"138",2020-08-22,236,44,187,5
"139",2020-08-23,237,45,187,5
"140",2020-08-24,237,45,187,5
"141",2020-08-25,237,27,205,5
"142",2020-08-26,NA,NA,NA,NA
"143",2020-08-27,242,26,211,5
"144",2020-08-28,244,28,211,5
"145",2020-08-29,244,28,211,5
"146",2020-08-30,251,27,217,7
"147",2020-08-31,250,24,218,8
"148",2020-09-01,249,17,224,8
"149",2020-09-02,250,16,226,8
"150",2020-09-03,254,20,226,8
"151",2020-09-04,254,20,226,8
"152",2020-09-05,263,29,226,8
"153",2020-09-06,263,29,226,8
"154",2020-09-07,264,26,230,8
"155",2020-09-08,264,25,231,8
"156",2020-09-09,266,27,231,8
"157",2020-09-10,289,48,233,8
"158",2020-09-11,298,57,233,8
"159",2020-09-12,299,54,237,8
"160",2020-09-13,299,54,237,8
"161",2020-09-14,311,64,239,8
"162",2020-09-15,311,64,239,8
"163",2020-09-16,320,73,239,8
"164",2020-09-17,320,69,243,8
"165",2020-09-18,322,66,248,8
"166",2020-09-19,324,68,248,8
"167",2020-09-20,326,70,248,8
"168",2020-09-21,329,62,259,8
"169",2020-09-22,333,46,279,8
"170",2020-09-23,340,49,283,8
"171",2020-09-24,350,39,302,9
"172",2020-09-25,355,44,302,9
"173",2020-09-26,368,55,304,9
"174",2020-09-27,371,49,313,9
"175",2020-09-28,371,47,315,9
"176",2020-09-29,371,47,315,9
"177",2020-09-30,371,47,315,9
"178",2020-10-01,371,45,317,9
"179",2020-10-02,371,43,319,9
"180",2020-10-03,372,44,319,9
"181",2020-10-04,372,40,323,9
"182",2020-10-05,372,17,346,9
"183",2020-10-06,376,11,356,9
"184",2020-10-07,376,6,361,9
"185",2020-10-08,380,9,362,9
"186",2020-10-09,386,15,362,9
"187",2020-10-10,392,21,362,9
"188",2020-10-11,398,27,362,9
"189",2020-10-12,401,30,362,9
"190",2020-10-13,407,36,362,9
"191",2020-10-14,412,40,362,10
"192",2020-10-15,414,40,364,10
"193",2020-10-16,414,35,369,10
"194",2020-10-17,417,36,371,10
"195",2020-10-18,417,36,371,10
"196",2020-10-19,419,37,372,10
"197",2020-10-20,420,33,377,10
"198",2020-10-21,420,31,379,10
"199",2020-10-22,420,27,383,10
"200",2020-10-23,421,21,390,10
"201",2020-10-24,421,15,396,10
"202",2020-10-25,421,15,396,10
"203",2020-10-26,421,7,404,10
"204",2020-10-27,421,3,408,10
"205",2020-10-28,421,2,408,11
"206",2020-10-29,427,8,408,11
"207",2020-10-30,429,8,409,12
"208",2020-10-31,429,8,409,12
"209",2020-11-01,429,8,409,12
"210",2020-11-02,429,8,409,12
"211",2020-11-03,433,12,409,12
"212",2020-11-04,435,14,409,12
"213",2020-11-05,437,16,409,12
"214",2020-11-06,437,12,412,13
"215",2020-11-07,440,10,417,13
"216",2020-11-08,440,10,417,13
"217",2020-11-09,440,8,418,14
"218",2020-11-10,442,10,418,14
"219",2020-11-11,NA,NA,NA,NA
"220",2020-11-12,445,9,422,14
"221",2020-11-13,446,10,422,14
"222",2020-11-14,447,11,422,14
"223",2020-11-15,448,12,422,14
"224",2020-11-16,448,9,425,14
"225",2020-11-17,448,7,427,14
"226",2020-11-18,449,8,427,14
"227",2020-11-19,450,8,428,14
"228",2020-11-20,450,7,429,14
"229",2020-11-21,452,9,429,14
"230",2020-11-22,452,9,429,14
"231",2020-11-23,452,5,433,14
"232",2020-11-24,452,5,433,14
"233",2020-11-25,452,5,433,14
"234",2020-11-26,456,8,434,14
"235",2020-11-27,456,7,435,14
"236",2020-11-28,456,7,435,14
"237",2020-11-29,457,8,435,14
"238",2020-11-30,457,8,435,14
"239",2020-12-01,458,9,435,14
"240",2020-12-02,459,8,437,14
"241",2020-12-03,462,11,437,14
"242",2020-12-04,464,11,439,14
"243",2020-12-05,465,12,439,14
"244",2020-12-06,465,12,439,14
"245",2020-12-07,465,10,441,14
"246",2020-12-08,465,10,441,14
"247",2020-12-09,470,14,441,15
"248",2020-12-10,471,9,447,15
"249",2020-12-11,476,14,447,15
"250",2020-12-12,478,15,448,15
"251",2020-12-13,478,15,448,15
"252",2020-12-14,479,13,451,15
"253",2020-12-15,479,13,451,15
"254",2020-12-16,479,12,452,15
"255",2020-12-17,485,18,452,15
"256",2020-12-18,488,21,452,15
"257",2020-12-19,496,25,456,15
"258",2020-12-20,496,25,456,15
"259",2020-12-21,503,29,459,15
"260",2020-12-22,504,28,461,15
"261",2020-12-23,516,40,461,15
"262",2020-12-24,516,37,464,15
"263",2020-12-25,517,38,464,15
"264",2020-12-26,517,38,464,15
"265",2020-12-27,517,38,464,15
"266",2020-12-28,517,31,471,15
"267",2020-12-29,521,33,472,16
"268",2020-12-30,521,29,475,17
"269",2020-12-31,530,35,478,17
"270",2021-01-01,531,33,481,17
"271",2021-01-02,531,33,481,17
"272",2021-01-03,536,26,493,17
"273",2021-01-04,536,23,496,17
"274",2021-01-05,540,27,496,17
"275",2021-01-06,541,23,501,17
"276",2021-01-07,545,27,501,17
"277",2021-01-08,545,24,504,17
"278",2021-01-09,545,21,507,17
"279",2021-01-10,556,32,507,17
"280",2021-01-11,556,32,507,17
"281",2021-01-12,559,27,514,18
"282",2021-01-13,569,32,519,18
"283",2021-01-14,572,34,519,19
"284",2021-01-15,572,34,519,19
"285",2021-01-16,577,35,523,19
"286",2021-01-17,580,37,524,19
"287",2021-01-18,580,34,527,19
"288",2021-01-19,580,33,527,20
"289",2021-01-20,584,28,536,20
"290",2021-01-21,591,35,536,20
"291",2021-01-22,592,34,538,20
"292",2021-01-23,592,28,544,20
"293",2021-01-24,601,35,546,20
"294",2021-01-25,601,34,547,20
"295",2021-01-26,608,35,553,20
"296",2021-01-27,608,35,553,20
"297",2021-01-28,620,41,559,20
"298",2021-01-29,620,41,559,20
"299",2021-01-30,626,44,562,20
"300",2021-01-31,626,44,562,20
"301",2021-02-01,626,44,562,20
"302",2021-02-02,628,36,572,20
"303",2021-02-03,628,36,572,20
"304",2021-02-04,641,44,577,20
"305",2021-02-05,641,44,577,20
"306",2021-02-06,641,44,577,20
"307",2021-02-07,657,49,584,24
"308",2021-02-08,657,42,591,24
"309",2021-02-09,657,37,594,26
"310",2021-02-10,674,36,612,26
"311",2021-02-11,674,36,612,26
"312",2021-02-12,674,36,612,26
"313",2021-02-13,674,36,612,26
"314",2021-02-14,679,29,624,26
"315",2021-02-15,679,25,628,26
"316",2021-02-16,681,24,631,26
"317",2021-02-17,681,24,631,26
"318",2021-02-18,681,22,633,26
"319",2021-02-19,686,22,638,26
"320",2021-02-20,688,16,645,27
"321",2021-02-21,688,15,646,27
"322",2021-02-22,688,12,648,28
"323",2021-02-23,696,17,651,28
"324",2021-02-24,703,23,652,28
"325",2021-02-25,708,27,653,28
"326",2021-02-26,708,26,654,28
"327",2021-02-27,717,31,658,28
"328",2021-02-28,717,28,661,28
"329",2021-03-01,717,28,661,28
"330",2021-03-02,738,49,661,28
"331",2021-03-03,741,45,668,28
"332",2021-03-04,751,52,671,28
"333",2021-03-05,751,47,675,29
"334",2021-03-06,760,50,681,29
"335",2021-03-07,760,46,685,29
"336",2021-03-08,771,57,685,29
"337",2021-03-09,771,51,691,29
"338",2021-03-10,771,51,691,29
"339",2021-03-11,782,47,706,29
"340",2021-03-12,804,54,721,29
"341",2021-03-13,804,54,721,29
"342",2021-03-14,819,54,735,30
"343",2021-03-15,821,17,774,30
"344",2021-03-16,831,54,746,31
"345",2021-03-17,837,60,746,31
"346",2021-03-18,849,62,756,31
"347",2021-03-19,NA,NA,NA,NA
"348",2021-03-20,NA,NA,NA,NA
"349",2021-03-21,864,61,771,32
"350",2021-03-22,864,44,788,32
"351",2021-03-23,868,47,789,32
"352",2021-03-24,868,47,789,32
"353",2021-03-25,868,47,789,32
"354",2021-03-26,NA,NA,NA,NA
"355",2021-03-27,NA,NA,NA,NA
"356",2021-03-28,908,58,817,33
"357",2021-03-29,NA,NA,NA,NA
"358",2021-03-30,919,63,822,34
"359",2021-03-31,NA,NA,NA,NA
"360",2021-04-01,939,72,833,34
