"","hari_ke","tanggal","tanah_laut","kotabaru","banjar","barito_kuala","tapin","hss","hst","hsu","tabalong","tanah_bumbu","balangan","banjarmasin","banjarbaru"
"1",1,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,1,0
"2",2,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,1,0
"3",3,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,1,0
"4",4,2020-03-25,0,0,0,0,0,0,0,0,0,0,0,1,0
"5",5,2020-03-26,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",6,2020-03-27,0,0,0,0,0,0,0,0,0,0,0,1,0
"7",7,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,1,0
"8",8,2020-03-29,0,0,0,0,0,0,0,0,0,0,0,1,0
"9",9,2020-03-30,0,0,2,0,0,0,0,0,1,0,0,2,0
"10",10,2020-03-31,0,0,2,0,0,0,0,0,1,0,0,2,0
"11",11,2020-04-01,0,0,3,0,0,0,0,0,1,0,0,4,0
"12",12,2020-04-02,0,0,3,0,0,0,0,0,1,0,0,4,0
"13",13,2020-04-03,0,0,3,0,0,0,0,0,1,0,0,4,0
"14",14,2020-04-04,0,0,3,0,0,0,0,0,1,0,0,4,0
"15",15,2020-04-05,0,0,3,0,0,0,0,0,2,0,0,8,1
"16",15,2020-04-06,0,0,3,0,0,0,0,0,2,0,0,7,1
"17",17,2020-04-07,0,0,3,1,1,0,0,0,2,0,0,11,1
"18",18,2020-04-08,0,0,2,1,1,0,0,0,1,0,0,11,1
"19",19,2020-04-09,0,0,2,1,0,0,0,0,1,1,1,12,1
"20",20,2020-04-10,0,0,4,1,0,0,0,0,1,1,1,14,1
"21",21,2020-04-11,0,0,4,1,0,0,0,0,1,1,1,14,1
"22",22,2020-04-12,0,0,4,4,1,0,0,0,1,1,1,14,2
"23",23,2020-04-13,0,0,4,4,1,0,0,0,1,1,1,13,2
"24",24,2020-04-14,0,0,4,4,1,0,0,0,1,2,1,14,2
"25",25,2020-04-15,0,0,3,5,1,0,0,0,1,3,1,21,2
"26",26,2020-04-16,0,0,3,5,1,1,3,0,3,3,1,19,4
"27",27,2020-04-17,3,1,2,7,1,3,3,0,3,12,1,21,4
"28",28,2020-04-18,3,1,3,11,1,3,3,0,5,12,0,21,12
"29",29,2020-04-19,3,1,4,15,1,3,3,0,5,12,0,21,11
"30",30,2020-04-20,3,1,4,15,1,3,3,0,5,12,0,21,11
"31",31,2020-04-21,3,1,5,15,1,3,3,0,5,12,1,22,11
"32",32,2020-04-22,3,1,5,20,1,3,3,0,5,12,1,22,14
"33",33,2020-04-23,3,1,6,23,1,3,3,0,5,13,1,22,15
"34",34,2020-04-24,3,1,6,23,3,4,3,0,5,12,1,30,23
"35",35,2020-04-25,4,1,9,28,3,4,3,0,5,12,1,31,23
"36",36,2020-04-26,4,1,8,28,3,4,3,0,5,12,1,31,23
"37",37,2020-04-27,4,1,8,28,3,4,3,0,5,12,1,32,25
"38",38,2020-04-28,4,1,8,28,3,4,3,0,5,12,1,32,25
"39",39,2020-04-29,4,1,8,32,3,4,3,0,4,12,1,32,23
"40",40,2020-04-30,4,1,8,33,3,4,3,0,4,12,1,41,23
"41",41,2020-05-01,12,1,8,33,3,4,3,0,4,12,1,41,23
