"","hari_ke","tanggal","tanah_laut","kotabaru","banjar","barito_kuala","tapin","hss","hst","hsu","tabalong","tanah_bumbu","balangan","banjarmasin","banjarbaru"
"1",1,2020-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,2020-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,2020-03-30,0,0,2,0,0,0,0,0,1,0,0,1,0
"10",10,2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,2020-04-01,0,0,1,0,0,0,0,0,0,0,0,2,0
"12",12,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,2020-04-05,0,0,0,0,0,0,0,0,1,0,0,6,1
"16",15,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,2020-04-07,0,0,0,1,1,0,0,0,0,0,0,4,0
"18",18,2020-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,2020-04-09,0,0,0,0,0,0,0,0,0,1,1,1,0
"20",20,2020-04-10,0,0,2,0,0,0,0,0,0,0,0,2,0
"21",21,2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,2020-04-12,0,0,0,3,1,0,0,0,0,0,0,0,1
"23",23,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,2020-04-14,0,0,1,0,0,0,0,0,0,1,0,1,0
"25",25,2020-04-15,0,0,0,1,0,0,0,0,0,1,0,10,0
"26",26,2020-04-16,0,0,0,0,0,1,3,0,2,0,0,1,2
"27",27,2020-04-17,3,1,0,2,0,2,0,0,0,9,0,1,0
"28",28,2020-04-18,0,0,1,4,0,0,0,0,2,0,0,0,8
"29",29,2020-04-19,0,0,1,4,0,0,0,0,0,0,0,0,-1
"30",30,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,2020-04-21,0,0,1,0,0,0,0,0,0,0,1,2,0
"32",32,2020-04-22,0,0,0,5,0,0,0,0,0,0,0,0,3
"33",33,2020-04-23,0,0,1,3,0,0,0,0,0,1,0,0,1
"34",34,2020-04-24,0,0,0,0,2,1,0,0,0,0,0,8,8
"35",35,2020-04-25,1,0,4,7,0,0,0,0,0,0,0,2,0
"36",36,2020-04-26,0,0,-1,0,0,0,0,0,0,0,0,1,0
"37",37,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,2,2
"38",38,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",39,2020-04-29,0,0,1,4,0,0,0,0,0,0,0,2,0
"40",40,2020-04-30,0,0,0,1,0,0,0,0,0,0,0,12,0
"41",41,2020-05-01,9,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,2020-05-03,0,0,1,0,6,0,0,0,0,9,0,1,0
"44",44,2020-05-04,0,0,0,2,0,0,0,0,0,1,0,0,0
"45",45,2020-05-05,0,0,3,1,1,0,0,0,0,8,0,7,0
"46",46,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,10,0
"47",47,2020-05-07,2,1,0,0,0,0,0,2,0,5,0,7,0
"48",48,2020-05-08,0,0,2,0,0,0,0,0,0,0,0,-2,0
"49",49,2020-05-09,0,0,1,1,0,0,0,0,0,3,0,4,0
"50",50,2020-05-10,1,0,2,0,1,0,0,0,0,0,0,3,0
"51",51,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",52,2020-05-12,4,0,0,2,5,1,0,0,0,0,0,2,1
"53",53,2020-05-13,0,0,2,1,0,0,0,0,0,1,0,4,0
"54",54,2020-05-14,0,0,0,1,2,0,0,0,0,0,0,-1,0
"55",55,2020-05-15,9,1,6,8,0,0,0,0,0,0,0,10,0
"56",56,2020-05-16,0,0,1,0,0,0,0,2,0,12,0,32,0
"57",57,2020-05-17,1,1,1,1,0,0,0,0,0,0,0,29,3
"58",58,2020-05-18,17,3,0,1,0,0,0,0,0,0,0,13,0
"59",59,2020-05-19,2,2,8,0,9,1,0,0,0,1,0,19,4
"60",60,2020-05-20,0,-2,3,0,0,0,0,0,0,53,0,7,3
"61",61,2020-05-21,0,0,3,0,0,0,0,0,0,5,0,1,0
"62",62,2020-05-22,0,0,2,0,4,0,0,0,0,-6,0,15,0
"63",63,2020-05-23,4,0,-1,0,6,0,0,0,0,8,0,0,1
"64",64,2020-05-24,0,0,0,8,1,0,0,0,0,0,0,2,0
"65",65,2020-05-25,0,0,-3,1,0,0,0,0,0,0,0,4,0
"66",66,2020-05-26,5,1,2,1,1,0,0,0,0,10,0,6,1
"67",67,2020-05-27,2,1,44,0,1,2,0,1,0,0,0,21,1
"68",68,2020-05-28,0,0,0,0,0,0,0,0,0,0,0,112,4
"69",69,2020-05-29,0,0,17,16,0,0,0,0,1,0,0,39,1
"70",70,2020-05-30,1,0,-2,0,0,0,0,0,0,0,0,1,0
"71",71,2020-05-31,2,0,4,2,0,0,0,1,0,1,0,14,1
"72",72,2020-06-01,0,0,4,0,0,0,0,-1,0,5,0,12,10
"73",73,2020-06-02,0,0,1,0,0,0,0,0,0,4,1,12,3
"74",74,2020-06-03,18,0,0,8,1,0,0,0,2,0,0,33,2
"75",75,2020-06-04,0,1,1,-2,-1,0,0,2,-1,1,0,104,4
"76",76,2020-06-05,2,12,2,0,0,1,3,0,1,0,1,49,0
"77",77,2020-06-06,2,1,3,2,0,0,0,1,0,0,0,25,0
"78",78,2020-06-07,0,0,6,1,0,1,2,0,0,3,0,25,0
"79",79,2020-06-08,5,1,13,10,12,3,0,0,0,0,0,14,4
"80",80,2020-06-09,14,0,1,1,1,1,5,18,0,1,3,36,10
"81",81,2020-06-10,22,18,6,23,0,11,0,29,0,0,0,12,6
"82",82,2020-06-11,3,1,7,0,9,3,0,1,9,1,0,34,1
"83",83,2020-06-12,5,0,11,3,1,0,0,0,0,2,0,33,5
"84",84,2020-06-13,5,0,19,25,0,6,0,14,7,0,10,35,2
"85",85,2020-06-14,19,0,3,3,1,-4,1,2,0,0,12,21,12
"86",86,2020-06-15,2,0,9,23,0,0,3,0,0,-1,0,18,12
"87",87,2020-06-16,17,1,36,39,17,13,1,1,2,0,2,37,4
"88",88,2020-06-17,3,0,4,3,3,1,0,0,0,0,0,67,4
"89",89,2020-06-18,0,14,24,2,2,2,10,10,2,0,12,23,17
"90",90,2020-06-19,6,1,5,0,0,0,3,-1,0,3,34,5,10
"91",91,2020-06-20,1,0,5,2,0,1,1,0,0,5,2,64,2
"92",92,2020-06-21,0,0,4,5,0,2,0,0,25,0,28,27,3
"93",93,2020-06-22,2,0,2,2,0,6,0,1,0,0,0,72,4
"94",94,2020-06-23,5,0,0,1,0,5,0,1,3,0,0,7,5
"95",95,2020-06-24,5,0,29,10,6,0,0,3,0,2,1,29,5
"96",96,2020-06-25,9,1,10,6,13,0,0,0,0,3,2,12,4
"97",97,2020-06-26,18,0,0,6,0,3,0,0,0,0,0,13,1
"98",98,2020-06-27,3,0,0,8,-2,0,0,0,18,0,6,7,14
"99",99,2020-06-28,0,0,14,0,0,3,1,18,0,0,0,36,1
"100",100,2020-06-29,6,0,3,0,3,0,1,0,1,1,0,23,1
"101",101,2020-06-30,14,0,4,-1,-2,12,0,0,0,0,0,76,3
"102",102,2020-07-01,5,0,0,1,0,0,0,0,16,1,29,17,6
"103",103,2020-07-02,14,5,6,2,3,1,1,0,17,1,2,35,27
"104",104,2020-07-03,10,1,25,21,1,9,-1,24,0,0,0,9,11
"105",105,2020-07-04,0,0,2,0,1,0,0,0,0,4,1,39,26
"106",106,2020-07-05,5,0,0,0,2,7,0,0,8,0,0,20,2
"107",107,2020-07-06,14,0,8,11,17,4,4,1,1,1,0,0,3
"108",108,2020-07-07,4,6,1,1,1,13,1,0,0,1,0,30,9
"109",109,2020-07-08,8,0,3,1,1,6,1,0,33,0,51,19,0
"110",110,2020-07-09,14,0,15,0,0,6,0,4,0,7,0,43,19
"111",111,2020-07-10,9,0,7,0,1,-2,-1,9,1,0,1,39,0
"112",112,2020-07-11,0,0,1,6,0,0,0,0,0,1,0,68,3
"113",113,2020-07-12,10,1,4,1,1,18,0,0,0,6,4,31,1
"114",114,2020-07-13,18,3,-1,14,0,9,2,1,0,15,2,9,0
"115",115,2020-07-14,27,0,23,2,26,2,1,0,35,3,3,16,23
"116",116,2020-07-15,13,0,7,0,0,1,1,2,1,0,1,57,26
"117",117,2020-07-16,12,0,18,0,2,1,50,0,0,3,15,33,-1
"118",118,2020-07-17,26,0,3,4,3,14,0,40,0,0,0,8,3
"119",119,2020-07-18,0,16,18,0,0,10,0,0,5,8,0,14,36
"120",120,2020-07-19,2,0,4,3,20,8,1,0,2,3,6,49,11
"121",121,2020-07-20,12,1,2,12,0,2,-1,0,0,1,1,14,8
"122",122,2020-07-21,3,-1,9,26,1,4,0,1,0,1,0,39,10
"123",123,2020-07-22,13,2,2,3,0,0,0,20,0,0,3,57,33
"124",124,2020-07-23,14,0,27,5,9,11,0,0,12,1,11,22,4
"125",125,2020-07-24,8,2,6,5,0,35,0,0,0,0,0,15,19
"126",126,2020-07-25,2,0,16,12,1,12,0,15,0,2,1,50,7
"127",127,2020-07-26,7,0,8,8,0,2,44,0,6,0,0,25,16
"128",128,2020-07-27,1,0,5,0,0,0,17,-1,0,0,7,2,2
"129",129,2020-07-28,14,1,6,0,0,4,5,5,0,0,0,23,35
"130",130,2020-07-29,8,0,8,0,1,0,0,0,15,26,19,23,2
"131",131,2020-07-30,10,0,1,3,1,7,0,4,0,3,0,19,38
"132",132,2020-07-31,0,0,1,25,4,5,0,0,0,4,0,89,0
"133",133,2020-08-01,2,0,24,0,5,0,20,0,0,0,1,0,10
"134",134,2020-08-02,16,0,0,7,0,1,0,0,0,0,0,0,8
"135",135,2020-08-03,0,0,8,0,0,0,0,0,12,0,0,20,6
"136",136,2020-08-04,80,4,0,8,0,0,0,0,0,4,0,23,0
"137",137,2020-08-05,0,1,0,0,0,2,0,0,0,2,7,7,35
"138",138,2020-08-06,5,21,0,8,0,1,0,0,0,1,0,21,0
"139",139,2020-08-07,3,3,9,10,0,2,0,5,0,0,0,19,16
"140",140,2020-08-08,22,0,1,0,6,0,36,1,0,10,0,6,0
"141",141,2020-08-09,0,0,1,22,0,3,0,1,0,2,0,69,0
"142",142,2020-08-10,8,0,6,0,0,1,0,0,0,0,11,1,23
"143",143,2020-08-11,0,0,0,12,0,1,0,0,0,3,0,42,13
"144",144,2020-08-12,0,0,23,0,1,3,0,3,0,0,0,23,0
"145",145,2020-08-13,3,0,10,0,0,1,0,1,0,3,0,17,10
"146",146,2020-08-14,30,0,1,6,1,1,0,1,2,0,0,13,0
"147",147,2020-08-15,0,16,6,3,0,6,12,0,0,3,0,18,0
"148",148,2020-08-16,9,1,11,0,0,8,0,23,0,0,28,8,11
"149",149,2020-08-17,0,0,5,0,0,0,3,0,0,0,37,28,16
"150",150,2020-08-18,1,0,4,0,9,2,0,0,0,8,0,16,0
"151",151,2020-08-19,4,5,2,0,4,2,19,0,0,0,0,32,14
"152",152,2020-08-20,10,0,6,0,0,0,5,91,0,0,39,30,0
"153",153,2020-08-21,0,23,5,0,0,10,1,32,0,0,0,3,0
"154",154,2020-08-22,19,1,6,0,0,0,0,3,33,4,1,-1,13
"155",155,2020-08-23,23,0,5,0,10,4,9,0,10,0,10,5,5
"156",156,2020-08-24,0,0,11,0,0,0,4,5,0,0,0,40,0
"157",157,2020-08-25,1,1,8,34,0,3,0,8,1,15,0,12,0
"158",158,2020-08-26,1,12,8,0,0,0,0,0,0,2,7,13,11
"159",159,2020-08-27,2,0,1,22,4,0,7,0,0,0,0,2,0
"160",160,2020-08-28,0,0,0,3,2,2,3,0,0,0,0,36,22
"161",161,2020-08-29,7,0,9,2,0,2,0,4,0,0,26,38,23
"162",162,2020-08-30,10,22,0,0,0,2,17,1,0,4,2,6,0
"163",163,2020-08-31,0,0,1,0,8,0,18,0,0,0,0,5,0
"164",164,2020-09-01,27,3,0,2,0,0,0,3,0,2,0,21,13
"165",165,2020-09-02,1,0,0,0,0,3,18,1,0,0,0,35,0
"166",166,2020-09-03,29,0,1,0,0,8,6,0,1,2,34,29,0
"167",167,2020-09-04,20,1,9,4,1,4,4,0,0,1,1,4,1
"168",168,2020-09-05,5,5,0,0,2,2,0,0,0,0,32,11,23
"169",169,2020-09-06,34,0,0,14,0,1,38,0,0,0,0,9,7
"170",170,2020-09-07,2,19,0,0,0,4,0,0,0,31,0,0,21
"171",171,2020-09-08,0,0,0,0,3,3,0,0,2,6,0,51,1
"172",172,2020-09-09,1,14,0,0,0,7,2,13,0,0,0,59,2
"173",173,2020-09-10,1,0,19,0,35,6,0,5,0,0,0,11,0
"174",174,2020-09-11,3,0,1,10,0,6,18,0,0,0,11,25,0
"175",175,2020-09-12,6,31,6,5,10,1,26,0,0,0,0,5,7
"176",176,2020-09-13,9,0,3,1,0,1,0,0,0,0,0,19,0
"177",177,2020-09-14,5,0,3,0,12,0,0,9,0,0,79,3,30
"178",178,2020-09-15,0,0,7,1,4,4,2,0,12,24,0,12,11
"179",179,2020-09-16,0,0,0,5,0,0,0,0,0,1,0,4,1
"180",180,2020-09-17,3,6,0,2,0,8,0,3,0,0,0,9,5
"181",181,2020-09-18,9,0,2,0,4,4,1,0,0,1,0,4,0
"182",182,2020-09-19,0,12,4,3,0,3,0,0,0,6,40,7,3
"183",183,2020-09-20,4,31,0,2,0,1,15,9,0,0,22,2,0
"184",184,2020-09-21,0,0,0,0,0,1,42,1,0,17,0,1,20
"185",185,2020-09-22,0,0,0,0,16,1,12,7,39,0,0,7,3
"186",186,2020-09-23,36,4,0,0,2,0,0,3,0,3,0,33,-1
"187",187,2020-09-24,0,2,0,4,10,9,24,0,0,4,0,11,0
"188",188,2020-09-25,2,15,3,0,5,2,1,0,0,1,0,-1,5
"189",189,2020-09-26,2,2,1,14,0,6,0,9,0,3,0,0,3
"190",190,2020-09-27,1,0,1,3,16,2,0,0,0,4,4,10,36
"191",191,2020-09-28,0,0,0,-1,0,0,39,0,0,0,0,0,2
"192",192,2020-09-29,0,24,10,0,0,1,1,0,0,7,0,2,7
"193",193,2020-09-30,2,14,0,1,0,3,5,0,0,5,0,29,0
"194",194,2020-10-01,5,3,0,1,0,1,0,0,37,0,0,0,8
"195",195,2020-10-02,7,0,0,5,0,2,4,0,41,7,0,12,0
"196",196,2020-10-03,0,0,0,0,0,0,5,0,0,0,15,60,3
"197",197,2020-10-04,23,13,0,0,0,2,2,0,0,10,0,5,0
"198",198,2020-10-05,14,1,11,0,1,0,0,0,0,0,0,0,16
"199",199,2020-10-06,20,1,0,1,4,1,3,2,0,1,30,9,0
"200",200,2020-10-07,1,8,8,0,0,4,5,0,0,0,0,11,3
"201",201,2020-10-08,2,0,0,3,4,0,1,3,0,1,14,8,6
"202",202,2020-10-09,10,15,3,2,6,2,0,7,0,4,16,15,1
"203",203,2020-10-10,5,0,0,0,6,2,25,0,0,2,0,13,0
"204",204,2020-10-11,0,0,0,3,6,6,1,12,0,2,30,10,6
"205",205,2020-10-12,0,0,10,0,3,0,0,1,0,0,0,0,12
"206",206,2020-10-13,3,8,0,3,6,0,6,0,2,1,28,12,10
"207",207,2020-10-14,6,17,5,2,5,2,7,3,0,2,0,6,0
"208",208,2020-10-15,3,0,18,8,2,3,6,0,0,1,20,7,7
"209",209,2020-10-16,8,7,4,4,0,2,9,1,0,1,23,9,0
"210",210,2020-10-17,0,2,0,0,3,2,0,1,0,6,22,19,16
"211",211,2020-10-18,1,0,0,2,0,2,2,0,0,0,23,8,1
"212",212,2020-10-19,0,2,0,0,2,0,1,0,0,0,0,2,0
"213",213,2020-10-20,10,9,0,0,2,3,0,11,0,1,0,5,1
"214",214,2020-10-21,0,0,0,6,0,2,0,0,0,0,0,3,9
"215",215,2020-10-22,4,2,5,8,0,1,2,0,0,0,0,5,0
"216",216,2020-10-23,13,6,0,1,1,2,6,0,0,5,0,8,6
"217",217,2020-10-24,1,1,7,1,0,2,0,2,0,5,16,11,0
"218",218,2020-10-25,6,0,0,0,0,1,2,0,0,1,0,2,7
"219",219,2020-10-26,0,0,0,0,0,2,0,0,0,0,0,0,0
"220",220,2020-10-27,1,0,0,0,0,1,4,1,0,2,0,3,0
"221",221,2020-10-28,0,8,0,4,0,1,1,2,0,0,42,12,0
"222",222,2020-10-29,0,0,3,2,6,2,0,1,0,3,0,1,14
"223",223,2020-10-30,0,10,0,0,1,1,0,0,0,0,30,2,0
"224",224,2020-10-31,1,3,0,2,0,0,2,0,0,2,33,5,0
"225",225,2020-11-01,7,0,0,0,4,1,0,0,0,7,0,2,4
"226",226,2020-11-02,0,0,2,0,0,4,0,0,0,0,0,6,0
"227",227,2020-11-03,2,3,0,0,1,0,0,0,0,4,0,6,0
"228",228,2020-11-04,0,0,2,0,1,1,0,2,0,5,0,2,2
"229",229,2020-11-05,0,0,0,0,2,2,1,-1,0,85,1,3,0
"230",230,2020-11-06,13,7,5,8,0,1,0,0,0,19,0,1,9
"231",231,2020-11-07,0,0,0,9,3,1,0,0,0,9,23,5,0
"232",232,2020-11-08,7,9,0,0,0,5,2,2,0,15,0,6,0
"233",233,2020-11-09,0,0,10,0,0,0,0,0,0,0,0,0,0
"234",234,2020-11-10,3,0,1,2,2,1,0,0,12,9,0,8,21
"235",235,2020-11-11,1,1,2,12,0,2,3,3,0,40,0,5,2
"236",236,2020-11-12,1,12,0,13,3,0,0,0,0,4,0,8,8
"237",237,2020-11-13,0,9,0,0,1,7,1,9,0,0,0,1,3
"238",238,2020-11-14,8,0,0,14,1,3,4,0,0,7,12,0,2
"239",239,2020-11-15,16,21,13,0,1,3,2,2,0,2,0,4,6
"240",240,2020-11-16,0,0,0,0,0,1,1,0,14,0,0,0,10
"241",241,2020-11-17,2,0,2,0,0,1,0,5,3,9,0,0,-6
"242",242,2020-11-18,5,7,0,6,1,1,1,3,6,4,0,12,6
"243",243,2020-11-19,5,1,0,0,1,5,3,6,0,3,0,11,5
"244",244,2020-11-20,6,14,13,4,0,4,3,0,0,7,0,7,0
"245",245,2020-11-21,2,0,0,2,2,16,0,5,0,18,35,0,9
"246",246,2020-11-22,3,0,4,0,0,26,1,3,0,5,2,3,28
"247",247,2020-11-23,0,9,0,0,1,0,1,0,0,0,0,0,0
"248",248,2020-11-24,3,0,0,0,0,9,1,1,0,4,0,3,0
"249",249,2020-11-25,11,1,3,2,0,4,0,0,0,24,0,6,13
"250",250,2020-11-26,0,3,20,2,3,2,3,0,6,7,0,3,0
"251",251,2020-11-27,2,0,4,2,0,1,1,3,0,14,0,5,12
"252",252,2020-11-28,4,6,0,1,0,5,0,2,0,12,0,4,22
"253",253,2020-11-29,6,5,0,1,0,7,0,0,0,16,0,5,0
"254",254,2020-11-30,0,0,0,4,1,0,1,0,0,0,0,4,2
"255",255,2020-12-01,3,0,0,5,1,5,0,0,0,6,3,6,53
"256",256,2020-12-02,1,0,0,7,1,3,0,3,0,3,0,6,9
"257",257,2020-12-03,0,5,0,16,3,6,6,4,0,13,0,4,0
"258",258,2020-12-04,11,0,0,2,2,6,0,5,0,10,10,6,18
"259",259,2020-12-05,11,7,36,1,1,6,0,1,0,27,0,6,0
"260",260,2020-12-06,6,6,0,1,0,0,0,4,0,8,6,9,31
"261",261,2020-12-07,0,0,0,0,0,12,0,0,0,2,0,10,4
"262",262,2020-12-08,22,0,0,0,1,10,3,2,10,4,1,8,1
"263",263,2020-12-09,16,1,0,17,4,9,4,3,0,31,0,20,0
"264",264,2020-12-10,2,1,0,0,1,0,1,2,0,1,0,15,23
"265",265,2020-12-11,0,0,0,13,5,6,4,4,0,3,0,9,12
"266",266,2020-12-12,12,0,34,0,2,0,1,5,0,12,0,20,5
"267",267,2020-12-13,21,9,0,7,1,4,2,2,0,3,17,0,38
"268",268,2020-12-14,1,0,5,2,0,7,0,0,0,4,0,30,0
"269",269,2020-12-15,17,1,6,0,0,2,0,3,0,4,0,15,0
"270",270,2020-12-16,6,1,2,6,0,6,2,5,0,20,0,12,12
"271",271,2020-12-17,7,3,0,25,6,0,9,7,9,5,0,24,0
"272",272,2020-12-18,5,0,11,3,3,9,3,6,0,14,0,14,14
"273",273,2020-12-19,7,6,1,5,8,3,2,0,0,9,7,19,11
"274",274,2020-12-20,8,0,13,8,0,13,3,3,0,4,0,11,25
"275",275,2020-12-21,0,0,0,0,7,0,2,0,0,3,0,0,31
"276",276,2020-12-22,14,0,0,4,1,3,2,5,0,8,0,24,5
"277",277,2020-12-23,10,7,5,0,0,4,9,4,19,0,0,32,0
"278",278,2020-12-24,7,2,0,11,12,3,3,4,20,14,5,0,14
"279",279,2020-12-25,0,6,0,17,1,2,0,0,0,14,0,36,17
"280",280,2020-12-26,31,0,0,0,0,3,0,0,0,23,0,6,0
"281",281,2020-12-27,5,1,25,1,0,0,0,1,0,2,0,7,3
"282",282,2020-12-28,0,0,1,0,0,1,1,0,11,0,0,4,3
"283",283,2020-12-29,5,0,0,7,4,4,0,3,0,20,0,18,0
"284",284,2020-12-30,4,0,2,8,0,5,4,3,0,23,0,13,12
"285",285,2020-12-31,13,3,7,12,9,3,0,6,0,3,10,0,0
"286",286,2021-01-01,7,9,1,0,1,3,0,6,0,25,0,10,37
"287",287,2021-01-02,0,5,2,0,0,0,0,0,0,1,0,8,1
"288",288,2021-01-03,18,0,1,0,5,7,1,11,0,9,0,6,16
"289",289,2021-01-04,0,0,2,0,0,0,1,0,0,1,0,9,7
"290",290,2021-01-05,12,7,3,9,4,3,0,0,0,12,0,30,1
"291",291,2021-01-06,12,0,0,12,1,0,6,2,0,12,0,26,17
"292",292,2021-01-07,21,11,0,0,4,15,0,6,0,0,0,29,7
"293",293,2021-01-08,29,10,0,13,0,7,1,0,0,22,0,0,7
"294",294,2021-01-09,0,8,18,16,0,6,3,3,0,7,15,14,8
"295",295,2021-01-10,17,1,16,11,11,6,0,0,0,23,0,35,0
"296",296,2021-01-11,56,0,1,4,0,3,1,0,10,23,0,0,16
"297",297,2021-01-12,6,0,0,2,3,6,0,0,1,0,0,12,4
"298",298,2021-01-13,0,2,2,11,10,6,0,2,0,20,0,16,0
"299",299,2021-01-14,18,23,0,0,3,2,0,0,0,34,0,21,0
"300",300,2021-01-15,10,0,19,18,0,0,0,10,0,1,0,28,21
"301",301,2021-01-16,3,12,0,13,5,3,0,0,0,43,13,16,0
"302",302,2021-01-17,24,1,11,3,3,0,0,0,0,7,0,13,50
"303",303,2021-01-18,0,0,1,0,0,5,2,0,0,4,0,0,1
"304",304,2021-01-19,20,2,0,0,0,3,0,0,0,19,0,0,24
"305",305,2021-01-20,1,0,0,0,4,3,0,3,0,16,0,0,5
