"","hari_ke","tanggal","jumlah_kasus_baru_per_hari","jumlah_kasus_kumulatif","jumlah_kasus_aktif","jumlah_kasus_sembuh_per_hari","jumlah_pasien_sembuh","jumlah_kasus_meninggal_per_hari","jumlah_pasien_meninggal"
"1",1,2020-03-22,0,1,1,0,0,0,0
"2",2,2020-03-23,0,1,1,0,0,0,0
"3",3,2020-03-24,0,1,1,0,0,0,0
"4",4,2020-03-25,0,1,1,0,0,0,0
"5",5,2020-03-26,0,1,1,0,0,0,0
"6",6,2020-03-27,0,1,1,0,0,0,0
"7",7,2020-03-28,0,1,1,0,0,0,0
"8",8,2020-03-29,0,1,1,0,0,0,0
"9",9,2020-03-30,4,5,5,0,0,0,0
"10",10,2020-03-31,3,8,8,0,0,0,0
"11",11,2020-04-01,0,8,8,0,0,0,0
"12",12,2020-04-02,0,8,8,0,0,0,0
"13",13,2020-04-03,0,8,8,0,0,0,0
"14",14,2020-04-04,0,8,8,0,0,0,0
"15",15,2020-04-05,10,18,16,0,0,2,2
"16",16,2020-04-06,0,18,16,0,0,0,2
"17",17,2020-04-07,4,22,19,0,0,1,3
"18",18,2020-04-08,0,22,17,2,2,0,3
"19",19,2020-04-09,3,25,19,0,2,1,4
"20",20,2020-04-10,4,29,23,0,2,0,4
"21",21,2020-04-11,0,29,23,0,2,0,4
"22",22,2020-04-12,5,34,28,0,2,0,4
"23",23,2020-04-13,0,34,27,1,3,0,4
"24",24,2020-04-14,3,37,29,0,3,1,5
"25",25,2020-04-15,12,49,37,2,5,2,7
"26",26,2020-04-16,9,58,43,3,8,0,7
"27",27,2020-04-17,18,76,61,0,8,0,7
"28",28,2020-04-18,15,91,75,1,9,0,7
"29",29,2020-04-19,4,95,79,0,9,0,7
"30",30,2020-04-20,0,95,79,0,9,0,7
"31",31,2020-04-21,4,99,82,1,10,0,7
"32",32,2020-04-22,8,107,90,0,10,0,7
"33",33,2020-04-23,7,114,97,0,10,0,7
"34",34,2020-04-24,18,132,114,1,11,0,7
